country,position
Albania,all
Andorra,all
Angola,all
Argentina,all
Armenia,all
Australia,all
Austria,all
Azerbaijan,all
Belgium,all
Benin,all
Bhutan,all
Bolivia,all
Bosnia-Herzegovina,all
Bulgaria,all
Burundi,all
Cambodia,all
Canada,all
Cape Verde,all
Colombia,all
Congo,all
Cook Islands,all
Costa Rica,all
Cote D'Ivoire,all
Croatia,all
Cyprus,all
Czech Republic,all
Denmark,all
Djibouti,all
Dominican Republic,all
Ecuador,all
Estonia,all
Finland,all
Fiji,all
France,all
Gabon,all
Georgia,all
Germany,all
Greece,all
Guinea,all
Guinea-Bissau,all
Haiti,all
Holy See,all
Honduras,all
Hungary,all
Iceland,all
Ireland,all
Italy,all
Kiribati,all
Kosovo,all
Kyrgyzstan,all
Latvia,all
Liechtenstein,all
Lithuania,all
Luxembourg,all
Macedonia,all
Madagascar,all
Malta,all
Marshall Islands,all
Mauritius,all
Mexico,all
Micronesia,all
Moldova,all
Monaco,all
Mongolia,all
Montenegro,all
Mozambique,all
Namibia,all
Nauru,all
Nepal,all
Netherlands,all
New Zealand,all
Nicaragua,all
Niue,all
Norway,all
Palau,all
Panama,all
Paraguay,all
Philippines,all
Poland,all
Portugal,all
Romania,all
Rwanda,all
Samoa,all
San Marino,all
Sao Tome and Principe,all
Senegal,all
Serbia,all
Seychelles,all
Slovakia,all
Slovenia,all
Solomon Islands,all
South Africa,all
Spain,all
Suriname,all
Sweden,all
Switzerland,all
Timor-Leste,all
Togo,all
Turkey,all
Turkmenistan,all
Tuvalu,all
Ukraine,all
United Kingdom,all
Uruguay,all
Uzbekistan,all
Vanuatu,all
Venezuela,all
Brazil,ordinary
Burkina Faso,ordinary
Chile,ordinary
El Salvador,ordinary
Guatemala,ordinary
Israel,ordinary
Kazakhstan,ordinary
Peru,ordinary
Algeria,moratorium
Brunei Darussalam,moratorium
Cameroon,moratorium
Central African Republic,moratorium
Eritrea,moratorium
Ghana,moratorium
Grenada,moratorium
Kenya,moratorium
Laos,moratorium
Liberia,moratorium
Malawi,moratorium
Maldives,moratorium
Mali,moratorium
Mauritania,moratorium
Morocco,moratorium
Western Sahara,moratorium
Myanmar,moratorium
Niger,moratorium
Papua New Guinea,moratorium
Russian Federation,moratorium
Sierra Leone,moratorium
South Korea,moratorium
Sri Lanka,moratorium
Swaziland,moratorium
Tajikistan,moratorium
Tanzania,moratorium
Tonga,moratorium
Tunisia,moratorium
Zambia,moratorium
Afghanistan,hanging|shooting
Antigua and Barbuda,hanging
Bahamas,hanging
Bahrain,hanging|shooting
Bangladesh,hanging
Barbados,hanging
Belarus,shooting
Belize,hanging
Botswana,hanging
Chad,shooting
China,injection|shooting
Comoros,shooting
Democratic Republic of the Congo,
Cuba,shooting
Dominica,hanging
Egypt,hanging
Equatorial Guinea,
Ethiopia,shooting
Gambia,moratorium
Guyana,hanging
India,hanging
Indonesia,shooting
Iran,hanging|shooting|stoning
Iraq,hanging
Jamaica,hanging
Japan,hanging
Jordan,hanging|shooting
Kuwait,hanging
Lebanon,hanging|shooting
Lesotho,hanging
Libya,shooting
Malaysia,hanging
Nigeria,hanging|shooting|stoning|injection
North Korea,hanging|shooting|decapitation
Oman,
Pakistan,hanging
Palestine,
Qatar,hanging|shooting
Saint Kitts and Nevis,hanging
Saint Lucia,hanging
Saint Vincent and the Grenadines,
Saudi Arabia,decapitation|hanging|stoning
Singapore,hanging
Somalia,hanging|shooting|stoning
South Sudan,hanging
Sudan,
Syria,hanging
Taiwan,shooting
Thailand,injection
Trinidad and Tobago,
Uganda,
United Arab Emirates,hanging|shooting|stoning
United States of America,injection|electrocution|gas|shooting|hanging
Viet Nam,injection
Yemen,shooting|stoning
Zimbabwe,hanging
