age_i,category_s,cause_s,image_url_s,name_s
27,artists,heroin,https://upload.wikimedia.org/wikipedia/en/9/9e/Basquiat.jpg,Jean-Michel Basquiat
28,artists,Spanish flu,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Egon_Schiele_-_Self-Portrait_with_Physalis_-_Google_Art_Project.jpg/1200px-Egon_Schiele_-_Self-Portrait_with_Physalis_-_Google_Art_Project.jpg,Egon Schiele
31,artists,meningitis(?),https://static.standard.co.uk/s3fs-public/styles/story_medium/public/thumbnails/image/2014/03/28/14/GeorgesSeurat2.jpg,Georges Seurat
34,artists,heart attack,https://www.departures.com/sites/default/files/1432130261/article_all_about_yves_yves_klein_2000x1333.jpg,Yves Klein
35,artists,meningitis,http://puzzles-games.eu/data/media/30/Amedeo-Modigliani-Self-Portrait.jpg,Amedeo Modigliani
37,artists,excessive sex,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Raffaello_Sanzio.jpg/1200px-Raffaello_Sanzio.jpg,Raphael
37,artists,suicide,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg/1200px-Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project_%28454045%29.jpg,Vincent van Gogh
38,artists,lead poisoning(?),https://upload.wikimedia.org/wikipedia/commons/7/73/Bild-Ottavio_Leoni%2C_Caravaggio.jpg,Caravaggio
31,composers,typhoid(?),http://www.thefamouspeople.com/profiles/images/franz-peter-schubert.jpg,Franz Schubert
35,composers,fever(?),https://s2-ssl.dmcdn.net/TVIxi.jpg,Wolfgang Amadeus Mozart
36,composers,heart attack,https://upload.wikimedia.org/wikipedia/commons/9/96/Georges_bizet.jpg,Georges Bizet
36,composers,pneumonia(?),https://upload.wikimedia.org/wikipedia/commons/5/53/Henry_Purcell.jpg,Henry Purcell
38,composers,stroke,http://www.theimaginativeconservative.org/wp-content/uploads/2017/04/Felix-Mendelssohn.jpg,Felix Mendelssohn
38,composers,brain tumor,http://assets1.classicfm.com/2013/28/george-gershwin-1374071114-view-0.jpg,George Gershwin
