name,years,portrait,align
Bessie Smith,1894–1937,https://media.npr.org/assets/img/2012/11/20/be004336_wide-93eb35b5a85ed99518276e59fda5cb1830767350-s1100-c50.jpg
Marlene Dietrich,1901–1992,https://i.guim.co.uk/img/media/20992a75dfaf62e6a2e05b3861a15910f3b08ffb/0_241_2662_2660/master/2662.jpg?width=465&dpr=1&s=none
Billie Holiday,1915–1959,"https://i.pinimg.com/564x/1d/42/11/1d4211aff421f0976e002e924f637591.jpg"
Little Richard,1932–2020,https://focus.independent.ie/thumbor/9Y0Rx1A0Uuvtus_NBdxWsErPVh8=/0x149:2500x1530/960x640/prod-mh-ireland/fa3aea2a-e275-11ed-bd24-0210609a3fe2,0.4
Lou Reed,1942–2013,https://www.billboard.com/wp-content/uploads/media/5b-lou-reed-gallery-650-430.jpg?w=650
Janis Joplin,1943–1970,https://www.telegraph.co.uk/content/dam/music/2016/01/26/0018_A_07_trans_NvBQzQNjv4Bqkb4tPoX-5S0Ki5dCYgQUnPYKpmKvROEFSWheafBiXfE.jpg
Pete Townshend (The Who),born 1945,https://cdn.artphotolimited.com/images/6151ece5bd40b85e3db8fef8/1000x1000/pete-townshend-du-groupe-the-who-avec-sa-collection-de-guitares.jpg
Debbie Harry (Blondie),born 1945,https://faroutmagazine.co.uk/static/uploads/1/2019/10/Debbie-Harry-Live.jpg
Freddie Mercury (Queen),1946–1991,"https://people.com/thmb/YIww0u4m8icR9vnhychZVxZecFs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(701x0:703x2)/freddie-mercury-3-f480f4ef58b145c7871f123c8b2d3aae.jpg"
David Bowie,1947–2016,https://media.vogue.co.uk/photos/5d5472d0e5662800084157b9/2:3/w_2560%2Cc_limit/dbowie_v_4sept12_brianduffy.jpg
Dave Davies (The Kinks),born 1947,https://faroutmagazine.co.uk/static/uploads/1/2021/01/When-The-Kinks-Dave-Davies-was-knocked-out-by-a-bandmate.jpg,0.3
Michael Stipe (R.E.M.),born 1960,https://musock.files.wordpress.com/2014/12/michael-stipe-los-angeles-1994-1-c34271.jpg
Whitney Houston,1963–2012,https://cdn.britannica.com/90/164290-050-8CF85284/singer-Whitney-Houston-1988.jpg
Billie Joe Armstrong (Green Day),born 1972,https://static01.nyt.com/images/2016/10/16/arts/1016BILLIEJOE1/1016BILLIEJOE1-videoSixteenByNineJumbo1600.jpg
Brian Molko (Placebo),born 1972,https://images-prod.dazeddigital.com/500/azure/dazed-prod/1150/5/1155020.jpg
Amy Winehouse,1983–2011,https://arc-anglerfish-arc2-prod-bostonglobe.s3.amazonaws.com/public/2FBLHFQ7KAI6LHLR6PAFNV4QPU.jpg
Lady Gaga,born 1986,https://static.wixstatic.com/media/876c61_38d891bd903c491d891d9d9d56f94eeb~mv2.webp
Frank Ocean,born 1987,https://ca-times.brightspotcdn.com/dims4/default/a1655ca/2147483647/strip/true/crop/4914x3198+0+0/resize/1200x781!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fcb%2F7c%2F27b99f2d4e15bd0216eeabf9fe79%2Fla-et-frank-ocean-gettyimages-033.JPG,0.7
Cardi B,born 1992,https://www.hollywoodreporter.com/wp-content/uploads/2018/12/gettyimages-1070918818-h_2018.jpg
Billie Eilish,born 2001,"https://media.vogue.co.uk/photos/5d5451ece56628000841331d/1:1/w_1280,h_1280,c_limit/original"
