cereal,mascot,image
Cookie Crisp,Chip the Wolf**,https://vignette.wikia.nocookie.net/logopedia/images/6/67/Cookie_Crisp_15_6_573-2283.jpg/revision/latest?cb=20151025020903
Cocoa Puffs,Sonny the Cuckoo Bird,https://lh4.googleusercontent.com/_hDVupCWYEnY/TYKzVTHEijI/AAAAAAAAAHk/OehXBVh3_Ec/s400/cpuffs.jpg
Rice Krispies,"Snap, Crackle, and Pop",https://i5.walmartimages.com/asr/95c83731-cf7a-47f3-be06-47b5e9b1003d_2.8d87d74b2e9f426229a8d7c389f1cb9b.jpeg
Corn Flakes,Cornelius Rooster,https://images-na.ssl-images-amazon.com/images/I/91d6cIN13yL._SY550_.jpg
Trix,Trix Rabbit,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Old_Trix_Box.jpg/250px-Old_Trix_Box.jpg
Honey Nut Cheerios,BuzzBee,https://images-na.ssl-images-amazon.com/images/I/91i7HHz-BML._SL1500_.jpg
Raisin Bran,Sunny the Sun,http://images.kglobalservices.com/www.kelloggs.com/en_us/product/product_4508651/kicproductimage-127056_rb_2016.jpeg
Franken Berry,Franken Berry,https://www.cookiemadness.net/wp-content/uploads/2014/09/frankenberry.jpg
Frosted Flakes,Tony the Tiger,https://images-na.ssl-images-amazon.com/images/I/81VrETB%2BVpL._SY550_.jpg
Boo Berry,Boo Berry,http://d2lkv2j4m042s95gkf28dijm.wpengine.netdna-cdn.com/wp-content/uploads/2011/09/Boo-Berry.jpg
Lucky Charms,Lucky the Leprechaun,https://images-na.ssl-images-amazon.com/images/I/916JRf-LnnL._SY550_.jpg
Cap'n Crunch,Cap'n Crunch,http://www.capncrunch.com/assets/img/products/front/original-crunch.jpg
Froot Loops,Toucan Sam,http://images.kglobalservices.com/www.kelloggs.com/en_us/product/product_4508497/prod_img-3394699_fl.jpg
Count Chocula,Count Chocula,https://www.louisvillehalloween.com/wp-content/gallery/general-mills-8-30-13/count-chocula.jpg
Cinnamon Toast Crunch,Chef Wendell*,http://bevarisalliance.com/wp-content/uploads/2013/03/cinnamon-toast-crunch.jpeg
Quaker Oats,Quaker man,https://images-na.ssl-images-amazon.com/images/I/514gbNd8xgL._SY450_.jpg
Honey Smacks,Dig 'Em Frog,https://images-na.ssl-images-amazon.com/images/I/91qIG0LufrL._SL1500_.jpg
Apple Jacks,Apple and CinnaMon,http://images.kglobalservices.com/www.kelloggs.com/en_us/product/product_4508455/prod_img-1025372_aj_cfia.jpeg
Cocoa Pebbles,Fred and Barney,https://images-na.ssl-images-amazon.com/images/I/A14UZRiMfVL._SY550_.jpg
Special K,The letter K,http://www.seriouseats.com/images/2012/01/20120113-special-k-box.jpg
