name,years,description,partner,image
Wernher von Braun,1912-1977,Nazi rocket engineer,Maria von Quistorp,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Wernher_von_Braun_1960.jpg/603px-Wernher_von_Braun_1960.jpg
Charles V\n,1500-1558,Holy Roman Emperor,Isabella of Portugal,https://www.onthisday.com/images/people/charles-v-medium.jpg
Charles Darwin,1809-1882,British naturalist,Emma Wedgwood,https://i.pinimg.com/736x/ec/3d/8d/ec3d8d0d7757247f2a8b25a32ad84776--photos-historiques-colorized-photos.jpg
Albert Einstein,1879-1955,German physicist,Elsa Einstein,https://vignette2.wikia.nocookie.net/epicrapbattlesofhistory/images/4/4d/Albert_Einstein_Based_On.png
Franz Joseph I,1830-1916,Austrian emperor,Elisabeth of Austria,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Emperor_Francis_Joseph.jpg/800px-Emperor_Francis_Joseph.jpg
Carlo Gambino,1902-1976,American crime boss,Caterina Castellano,https://i.imgur.com/KHJ9fSN.jpg
Edvard Grieg,1843-1907,Norwegian composer,Nina Hagerup,https://www.famousbirthdays.com/faces/grieg-edvard-image.jpg
Friedrich Hayek,1899-1992,Austrian economist,Helene Bitterlich,https://upload.wikimedia.org/wikipedia/commons/7/7f/Friedrich_Hayek_portrait.jpg
Saddam Hussein,1937-2006,Iraqi dictator,Sajida Talfah,https://upload.wikimedia.org/wikipedia/commons/9/9a/Saddam_Hussein_in_1998.png
Jesse James,1847-1882,American outlaw,Zee Mimms,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Jesse_James_portrait.png/800px-Jesse_James_portrait.png
David Lean\n,1908-1991,British director,Isabel Lean,https://www.themoviedb.org/t/p/w500/dzwMuydy2x3JwaTBfBSq8c02qz4.jpg
Louis XIV¹\n,1638-1715,French king,Maria Theresa¹,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNzA1MDA5Njc3/louis-xiv-9386885-2-sized.jpg
Abraham Maslow,1908-1970,American psychologist,Bertha Goodman,https://www.communicationtheory.org/wp-content/uploads/2011/01/abraham_harold_maslow.jpg
Darius Milhaud,1892-1974,French composer,Madeleine Milhaud,https://i.scdn.co/image/8869fdb32154319c6ae6ece7ee64f6b7158b1641
Christopher Robin Milne,1920-1996,Pooh's friend,Lesley de Sélincourt,https://upload.wikimedia.org/wikipedia/en/c/ce/Christopher_Robin_Milne.jpg
Henry Morgan,c.1635-1688,Welsh privateer,Mary Morgan,https://curioushistorian.com/content/109285/a2a1498bed764bfb7ba8d81783056f3b.jpg
Muhammad\n,c.570-632,Islamic prophet,Zaynab bint Jahsh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Muhammad2.svg/1024px-Muhammad2.svg.png
Olav V\n,1903-1991,Norwegian king,Märtha of Sweden,https://upload.wikimedia.org/wikipedia/commons/3/3f/Olav_V_of_Norway.jpg
Edgar Allan Poe,1809-1849,American writer,Virginia Clemm,https://upload.wikimedia.org/wikipedia/commons/9/97/Edgar_Allan_Poe%2C_circa_1849%2C_restored%2C_squared_off.jpg
Sergei Rachman-inoff,1873-1943,Russian composer,Natalia Satina,https://upload.wikimedia.org/wikipedia/commons/b/be/Sergei_Rachmaninoff_cph.3a40575.jpg
Hassan Rouhani,born 1948,Iranian president,Sahebeh Arabi,https://upload.wikimedia.org/wikipedia/commons/8/82/Hassan_Rouani_2017_portrait.jpg
Greta Scacchi,born 1960,Italian actress,Carlo Mantegazza,https://m.media-amazon.com/images/M/MV5BMTYzOTQzMDM4OF5BMl5BanBnXkFtZTcwOTcxNzgwNA@@._V1_.jpg
Igor Stravinsky,1882-1971,Russian composer,Katerina Nossenko,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Igor_Stravinsky_LOC_32392u.jpg/800px-Igor_Stravinsky_LOC_32392u.jpg
Mario Vargas Llosa,born 1936,Peruvian writer,Patricia Llosa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Mario_Vargas_Llosa_%28crop_2%29.jpg/800px-Mario_Vargas_Llosa_%28crop_2%29.jpg
Victoria\n,1819-1901,British queen,Prince Albert,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Queen_Victoria_by_Bassano.jpg/800px-Queen_Victoria_by_Bassano.jpg
H.G. Wells\n,1866-1946,English author,Isabel Mary Wells,https://upload.wikimedia.org/wikipedia/commons/4/4b/H.G._Wells_by_Beresford.jpg
William and Mary,"1650-02, 1662-94",British monarchs,each other,https://www.tudorsandstuarts.com/monarchs/williamiii_maryii.jpg

