language,word
Albanian,alkool
Basque,alkohol
Belarusian,алкаго́ль
Breton,alkool
Bulgarian,алкохо́л
Catalan,alcohol
Czech,alkohol
Danish,alkohol
Dutch,alcohol
English,alcohol
Estonian,alkohol
Finnish,alkoholi
French,alcool
Galician,alcohol
German,Alkohol
Greek,αλκοόλη
Hungarian,alkohol
Icelandic,áfengi
Irish,alcól
Italian,alcol
Latvian,alkohols
Lithuanian,alkoholis
Luxembourgish,Alkohol
Macedonian,алкохол
Maltese,alkoħol
Norwegian,alkohol
Polish,alkohol
Portuguese,álcool
Romanian,alcool
Russian,алкого́ль
Scottish,alcol
Serbo-Croatian,алкохол\nalkohol
Slovak,alkohol
Slovene,alkohól
Spanish,alcohol
Swedish,alkohol
Turkish,alkol
Ukrainian,алкого́ль
Welsh,alcohol
