country,word,category
Andorra,pinya,p
Armenia,Արքայախնձոր (arkʿayaxnjor),oa
Ireland,pineapple,p
Spain,piña,p
United Kingdom,pineapple,p
Bolivia,piña|chirimaway,po
Brazil,abacaxi,o
Chile,piña,p
Colombia,piña,p
Ecuador,piña|chirimaway,po
Falkland Islands,,p
South Georgia and the South Sandwich Islands,,p
Guyana,,p
Paraguay,piña|avakachi,po
Peru,piña|chirimaway,po
Venezuela,piña,p
Antigua and Barbuda,,p
Bahamas,,p
Barbados,
Belize,,p
Canada,,p
Costa Rica,,p
Cuba,,p
Dominica,,p
Dominican Republic,,p
El Salvador,,p
Grenada,,p
Guatemala,,p
Honduras,,p
Jamaica,,p
Mexico,,p
Nicaragua,,p
Panama,,p
Saint Kitts and Nevis,p,
Saint Vincent and the Grenadines,,p
Trinidad and Tobago,,p
United States,,p
Puerto Rico,,p
Australia,,p
Federated States of Micronesia,,p
Fiji,painapiu,p
Kiribati,,p
Marshall Islands,peinael,p
Nauru,,p
New Zealand,,p
Palau,,p
Papua New Guinea,painap|ananas,pa
Samoa,,p
Solomon Islands,,p
Tonga,,p
Tuvalu,,p
Vanuatu,paenapol|ananas,pa
Benin,ọ̀pẹ̀-òyìbó (yoruba)|agon (fon),o
Botswana,phaenapole,p
Burkina Faso,aborbe (mooré),o
Swaziland,?? (Swazi),?
Gabon,?? (Fang),?
The Gambia,pampe|yabibi(Mandingo),o
Ghana,abrɔbɛ (Akan),o
Guinea,fuunyé (Fula),o
Ivory Coast,see jstor,o
Lesotho,peinapole,p
Liberia,u-gɛndɛ o-yibwo (Bassa),po
Mali,jabibi,o
Namibia,?? (Oshiwambo),?
Niger,abarba (Hausa),o
Nigeria,akwu olu (Igbo)++,o
Sierra Leone,paynapul (Krio),p
South Africa,uphayinaphu (Zulu)|ipanapula (Xhosa)|Xihenge (Tsonga),po
South Sudan,? (Dinka|Nuer|Bari),?
Togo,atɔtɔ|abable (Ewe|Kabiyé?),o
Bhutan,kongtse?,o
Cambodia,ម្នាស់,o
China,,o
Taiwan,,o
Japan,,p
South Korea,,p
North Korea,,p
Laos,ໝາກນັດ,o
Mongolia,хан боргоцой,o
Philippines,pinya,p
Singapore,,o
Thailand,สัปปะรด,o
Vietnam,dứa,o

