type,language,population,word
p,Spanish*,410m,"piña (//*except Argentina, Uruguay//)"
p,English,379m,pineapple
p,Japanese,128m,パイナップル (painappuru)
p,Korean,77m,파인애플 (painaepeul)
p,Tagalog,28m,pinya
p,Zulu,12m,uphayinaphu
p,Catalan,4.1m,pinya
p,Tok Pisin,4m,painap / ananas
p,Jamaican Patois,3.2m,pain
a,Mandarin,918m,菠蘿 (bōluó; clipping of "jackfruit") / 鳳梨 (fènglí; "phoenix pear") /      黃梨 (huánglí; "yellow pear")
a,Portuguese*,207m,abacaxi (Tupi ibakatí "fragrant fruit") (//*Brazil only//)
a,Vietnamese,76m,(trái) dứa / khóm
a,Min Nan,50m,王梨 (ônglâi; "royal pear")
a,Igbo,50m,akwu olu
a,Thai,40m,สัปปะรด (sàpbpàrót; "all taste")
a,Hausa,40m,abarba
a,Malayalam,37m,കൈതച്ചക്ക (kaitaccakka)
a,Yoruba,34m,ọ̀pẹ̀-òyìbó ("white-man's palm")
a,Lao,30m,ໝາກນັດ (maknad)
a,Fula,24m,fuunyé
a,Ewe,20m,atɔtɔ (atoto)
a,Khmer,16m,ម្នាស់ (mnoah)
a,Armenian,12m,Արքայախնձոր (arkʿayaxnjor; "royal apple") or անանաս (ananas)
a,Akan,9.8m,abrɔbɛ (abrobe)
a,Quechua,9m,chirimaway
a,Kikuyu,7m,mainafu (//perhaps from pineapple?//)
a,Mongolian,5.2m,хан боргоцой (khan borgotsoj)
a,Bambara,4.1m,jabibi
