language,word,group
Albanian,
Basque,
Belarusian,і,i
Breton,
Bulgarian,и,i
Catalan,i,e
Czech,a,A
Danish,og,o
Dutch,en,a
English,and,a
Estonian,
Faroese,og,o
Finnish,
French,et,e
Galician,e,e
German,und,a
Greek,και/κι,k
Hungarian,
Icelandic,og,o
Irish,agus
Italian,e/ed,e
Latin,et,e
Latvian,
Lithuanian,
Luxembourgish,an,a
Macedonian,и,i
Maltese,u,w
Norwegian,og,o
Polish,i,i
Portuguese,e,e
Romanian,și
Russian,и,i
Scottish,
Serbo-Croatian,и i,i
Slovak,a,A
Slovene,
Spanish,y/e,e
Swedish,och,o
Turkish,
Ukrainian,и/й,i
Welsh,a/ac

Armenian,
Arabic,و (wa-),w
Hebrew,ו־ (ve-),w
