flag,thing,language,description,image

Finland,cats,Finnish,miuku mauku\n(miaow meow),https://www.thesprucepets.com/thmb/zvvE0YgfEd-XACM3eDO696ku-6w=/735x0/RussianBlueGettyVolanthevist-b55ba2eeaa1545d09bbff9f0b0dc3e18.jpg

Russia,dogs,Russian,собака (dog),https://i.guim.co.uk/img/media/fe1e34da640c5c56ed16f76ce6f994fa9343d09d/0_174_3408_2046/master/3408.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=67773a9d419786091c958b2ad08eae5e

Greece,ducklings,Greek,παπάκι (duckling),https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/05/29/11/duckling.jpg?width=1200

Sweden,elephants,Swedish,snabel-a\n(elephant's trunk a),https://media.istockphoto.com/photos/elephant-mouth-open-trunk-up-closeup-picture-id639498926?k=6&m=639498926&s=612x612&w=0&h=B2KFto3n4zFKQ-qU0X7_e9vtIuhH8ss55JuuFIugcK4=

Taiwan,mice,Taiwanese Mandarin,xiǎolǎoshǔ (little mouse),https://i.pinimg.com/474x/39/36/8d/39368d99265aef4eeb174b456a9a27d8.jpg

Germany,monkeys,German,Klammeraffe\n(spider monkey),https://upload.wikimedia.org/wikipedia/commons/8/84/Ateles_fusciceps_Colombia.JPG

Italy,snails,Italian,chiocciola (snail),https://i.guim.co.uk/img/media/a2b3f3d8c23f2445848fde14c17d8b2d24d8a16e/0_192_5200_3120/master/5200.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=834fbee365ab225a7984f4fb2c427e55

Hungary,worms,Hungarian,kukac (worm/maggot),"https://images2.minutemediacdn.com/image/upload/c_fit,f_auto,fl_lossy,q_auto,w_728/v1555913484/shape/mentalfloss/istock_000059337602_small.jpg?itok=G8mw2bVI"

Sweden,cinnamon rolls,Swedish,kanelbulle\n(cinnamon roll),https://cdn.shopify.com/s/files/1/0274/8930/4641/products/Fika-Swedish-Kitchen_CINNAMON_BUN_720x@2x.jpg?v=1604558562

Catalonia,Ensaïmadas,Catalan,ensaïmada,https://www.inturotel.com/content/thumbs/807//content/imgsxml/en/news/adobestock-54079257343.jpg

Czech Republic,rollmops,Czech,zavináč (rollmop),https://www.receptyonline.cz/wp-content/uploads/2016/11/184403zavinace33.jpg

Israel,strudels,Hebrew,‎שטרודל (strudel),https://images.squarespace-cdn.com/content/v1/57ebfe0b46c3c474983813f1/1518035909450-SVSKV2GMFRAB7R9MWPI3/Bletel-1-lowres.jpg?format=2500w
