language,word,group
Albanian,patëllxhan
Arabic,باذنجان
Armenian,բադրիջան
Azeri,badımcan
Basque,alberjinia
Belarusian,баклажан
Breton,berjin-\nezenn
Bulgarian,патладжан
Catalan,albergínia
Czech,lilek,s
Danish,aubergine
Dutch,aubergine
English,aubergine
Estonian,munataim\naubergiin,a|e
Faroese,eggfrukt,e
Finnish,munakoiso,e
French,aubergine
Galician,berenxena
Georgian,ბადრიჯანი
German,Aubergine
Greek,μελιτζάνα
Hebrew,חציל\n(hatsíl),?
Hungarian,padlizsán
Icelandic,eggaldin,e
Irish,ubh-\nthoradh,e
Italian,melanzana
Kazakh,кәді\n(kädi),s
Latin,melongena
Latvian,baklažāns
Lithuanian,baklažanas
Luxembourgish,Aubergine
Macedonian,модар\nпатлиџан,a|c
Maltese,brunġiel
Norwegian,aubergine
Persian,بادنجان
Polish,bakłażan\noberżyna
Portuguese,beringela
Romanian,vânătă,c
Russian,баклажан
Scottish,aubergine
Serbo-Croatian,плави патлиџан\npatlidžan,a|c
Slovak,baklažán
Slovene,jajčevec,e
Spanish,berenjena
Swedish,aubergine\näggplanta,a|e
Turkish,patlıcan
Ukrainian,баклажан
Welsh,wylys,e
