language,word,group
Albanian,banane,b
Basque,banana,b
Belarusian,бана́н,b
Breton,bananez,b
Bulgarian,банан,b
Catalan,banana/\nplàtan,b|p
Czech,banán,b
Danish,banan,b
Dutch,banaan,b
English,banana,b
Estonian,banaan,b
Finnish,banaani,b
French,banane,b
Galician,banana/\nplátano,b|p
German,Banane,b
Greek,μπανάνα,b
Hungarian,banán,b
Icelandic,banani/\nbjúgaldin,b|o
Irish,banana,b
Italian,banana,b
Latin,banana,b
Latvian,banāns,b
Lithuanian,bananas,b
Luxembourgish,Banann,b
Macedonian,бана́на,b
Maltese,banana,b
Norwegian,banan,b
Portuguese,banana,b
Polish,banan,b
Romanian,banană,b
Russian,бана́н,b
Serbo-Croatian,бана́на\nbanána,b
Slovak,banán,b
Slovenian,banana,b
Spanish,plátano,p
Swedish,banan,b
Turkish,muz,m
Ukrainian,бана́н,b
Welsh,banana,b
