band,year,description
10cc,1972,"Producer Jonathan King claims to have come up with the name in a dream, though band members sometimes claim it refers to slightly more than the amount of semen in a typical ejaculation (supposedly 9cc but in reality only around 3cc)."
ABBA,1973,"An acronym of the first letters of the band members' first names (Agnetha, Björn, Benny, Anni-Frid) arranged as a palindrome."
Aerosmith,1970,"Coined by Joey Kramer two years before the band was formed, inspired by Harry Nilsson's album //Aerial Ballet// (and unrelated to the Sinclair Lewis novel //Arrowsmith//)."
The Beatles,1960,"Renamed from **The Quarrymen** by Stuart Sutcliffe and John Lennon (and originally spelled **Beatals**) as a tribute to //Buddy Holly and the Crickets//, with a pun on beat."
The Bee Gees,1959,"Originally named **The BG's** by DJ Bill Gates after the shared initials of Barry Gibb (and his mother Barbara) with Gates and Speedway promoter Bill Goode, who were managing the band. The reinterpretation as ""Brothers Gibb"" came only later."
Black Sabbath,1969,"Named after a 1963 horror film starring Boris Karloff that was playing across the street from the band's rehearsal room."
Buffalo Springfield,1966,"Named after a brand of steamroller made by the Buffalo-Springfield Roller Company which was parked outside the hosue Stephen Stills and Richie Furay were staying at."
The Byrds,1964,"Originally named **The Jet Set** by Roger McGuinn due to his love of flying. Renamed for trademark reasons, while retaining the theme of flight, echoing the misspelling of the //Beatles//, and namechecking explorer and pioneering aviator Admiral Byrd."
Chicago,1969,"Renamed from **The Chicago Transit Authority** (a name suggested by producer James Guercio) to avoid legal action being threatened by the actual mass-transit operator."
Cocteau Twins,1979,"Named after a Simple Minds song (later rewritten as ""No Cure"") about two gay guys who were into Jean Cocteau."
Country Joe & the Fish,1965,"Coined by manager ED Denson in reference to a quote by Mao Zedong comparing revolutionaries to ""the fish who swim in the sea of the people""; Country Joe refers both to Stalin and singer McDonald (himself named after Stalin)."
Daft Punk,1993,"Taken from a negative review of **Darlin'** (Bangalter and Homem-Christo's previous band) in //Melody Maker//, which described their music as ""a daft punky thrash""."
The Doors,1965,"Named by Jim Morrison after Aldous Huxley's //The Doors of Perception//, the book that popularised psychedelic drug use, itself a reference to a quote from //The Marriage of Heaven and Hell// by William Blake."
Duran Duran,1978,"Named after the mad scientist Dr. Durand Durand in the 1967 sci-fi comedy //Barbarella//."
The E Street Band,1974,"Named after ""E Street"" in Belmar, New Jersey, where David Sancious grew up and where the band occasionally rehearsed in his mother's garage."
Fleetwood Mac,1967,"Named after rhythm section Mick Fleetwood and John McVie. Originally the name of an instrumental track by the Bluesbreakers, the band name was chosen partly to entice McVie to join. The name survived the departure of multiple guitarists and vocalists."
Foo Fighters,1994,"Named by David Grohl after a World War II term for unidentified flying objects (that predates UFO), partly to suggest that this one-man project (at the time) was a group."
Franz Ferdinand,2001,"Inspired by a racehorse called //Archduke Ferdinand// that won the Northumberland Plate in 2001, and selected both for its alliteration and its catalytic historical impact."
The Grateful Dead,1965,"Renamed from **The Warlocks** by Jerry Garcia after a random folklore dictionary entry with the definition ""the soul of a dead person, or his angel, showing gratitude to someone who, as an act of charity, arranged their burial""."
Green Day,1989,"Renamed from **Sweet Children** after Bay Area slang for a day spent smoking marijuana."
Guns N' Roses,1985,"A combination of **L.A. Guns** (named after guitarist Tracii Guns) and **Hollywood Rose** (named after singer Axl Rose), which merged to form the band."
Hootie & the Blowfish,1986,"Named after the nicknames of two of Darius Rucker's college friends. One had a round face and glasses like an owl and the other had chubby cheeks like a blowfish."
Jane's Addiction,1987,"Named after an early muse and housemate of Perry Farrell, Jane Bainter, who was trying to quit heroin (and eventually succeeded)."
Jefferson Airplane,1965,"Probably based on the nickname ""Blind Thomas Jefferson Airplane"" given to Jorma Kaukonen by friend Steve Talbot, after bluesman Blind Lemon Jefferson, though some sources say it was slang for a broken match stick used as a marijuana joint holder."
Joy Division,1977,"Renamed from **Warsaw** (a reference to a Bowie song) after the sexual slavery wing of a Nazi concentration camp mentioned in the 1955 novel //House of Dolls//."
The Kinks,1963,"Renamed in the wake of the Profumo Scandal and the ensuing discussion of kink, as a name that would generate plenty of outrage but was still just about broadcastable."
