language,word,group
Albanian,fagot
Armenian,fagot
Azeri,faqot
Belarusian,фагот
Bulgarian,фагот
Catalan,fagot
Czech,fagot
Danish,fagot
Dutch,fagot
English,bassoon,b
Estonian,fagott
Faroese,fagott
Finnish,fagotti
French,basson,b
Galician,fagot
Georgian,pagoṭi
German,Fagott
Greek,φαγκότο
Hebrew,bason,b
Hungarian,fagott
Icelandic,fagott
Irish,basún,b
Italian,fagotto
Kazakh,фагот
Latvian,fagots
Lithuanian,fagotas
Luxembourgish,Fagott
Macedonian,фагот
Maltese,fagot
Norwegian,fagott
Polish,fagot
Portuguese,fagote
Romanian,fagot
Russian,фагот
Scottish,torm-\nfheadan,o
Serbo-Croatian,fàgot\nфа̀гот
Slovak,fagot
Slovene,fagót
Spanish,fagot
Swedish,fagott
Turkish,fagot
Ukrainian,фагот
Welsh,basŵn,b
Basque,fagota
Breton,bason,b
