language,word,group
Albanian,mace,m
Basque,katu,c
Belarusian,кошка\n(koshka),c
Breton,kazh,c
Bulgarian,котка\n(kotka),c
Catalan,gat,c
Czech,kočka,c
Danish,kat,c
Dutch,kat,c
English,cat,c
Estonian,kass,c
Faroese,ketta,c
Finnish,kissa,k
French,chat,c
Galician,gato,c
German,Katze,c
Greek,γάτα\n(gata),c
Hungarian,macska,m
Icelandic,köttur,c
Irish,cat,c
Italian,gatto,c
Latin,cattus,c
Latvian,kaķis,c
Lithuanian,katė,c
Luxembourgish,Kaz,c
Macedonian,мачка,m
Maltese,qattus,c
Norwegian,katt,c
Polish,kot,c
Portuguese,gato,c
Romanian,pisică,k
Russian,кошка\n(koshka),c
Scottish,cat,c
Serbo-Croatian,мачка\nmačka,m
Slovak,mačka,m
Slovene,mačka,m
Spanish,gato,c
Swedish,katt,c
Turkish,kedi,c
Ukrainian,кіт\n(kit),c
Welsh,cath,c

Armenian,
Azeri,
Georgian,
Hebrew,
Kazakh,
