language,word,group
Albanian,gepard\nçita,gc
Armenian,vagrakatu\ngepard,go
Arabic,فهد\n(fahd),o
Azeri,hepard\nçita,gc
Basque,gepardo
Belarusian,гепард
Breton,gwepard
Bulgarian,гепард
Catalan,guepard
Czech,gepard
Danish,gepard
Dutch,jachtluipaard\ncheeta,hc
English,cheetah,c
Estonian,gepard
Faroese,
Finnish,gepardi
French,guépard
Galician,guepardo
Georgian,avaza,o
German,Gepard
Greek,γατόπαρδος\nτσίτα,gc
Hebrew,ברדלס\n(bardlás),o
Hungarian,gepárd
Icelandic,blettatígur,o
Irish,síota,c
Italian,ghepardo
Kazakh,қабылан\n(qabylan),o
Latvian,gepards
Lithuanian,gepardas
Luxembourgish,Gepard
Macedonian,гепард
Maltese,
Norwegian,gepard
Persian,یوزپلنگ\n(yuzpalang),o
Polish,gepard
Portuguese,chita,c
Romanian,ghepard
Russian,гепард
Scottish,sìotà,c
Serbo-Croatian,gepard\nгепард
Slovak,gepard
Slovene,gepard
Spanish,guepardo
Swedish,gepard
Turkish,çita,c
Ukrainian,гепард
Welsh,llewpart\nhela,h
