brand,name,years,description,portrait,image
Amy's Kitchen,Amy Berliner,born 1987,American,"https://people.com/thmb/EviIJtWMfHhjlIf6UJyPc0OySlw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2)/amyskitchen_day1_theranch_0204_preview-1-aaf9866ffff64faca360a970fdea3d54.jpg",https://www.just-food.com/wp-content/uploads/sites/28/2021/04/2021-02-03-16-09-65985086_2268391419875125_7707594253219659776_o_cropped_70.jpg
Barbie,Barbara Handler Segal,born 1941,American,https://www.oprah.com/g/image-resizer?width=670&link=https://static.oprah.com/images/tows/200602/20060227/20060227_110-600x411.jpg,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/gettyimages-518361844-1551386275.jpg?crop=0.669xw:1.00xh;0.305xw,0&resize=1200:*"
Berklee*,Lee Eliot Berk,born 1942,American,https://news.brown.edu/files/images/Berk.crop_.jpg,https://www.berklee.edu/themes/custom/berklee_base/images/logo/stacked-www-bcm.jpg
Carlsberg,Carl Jacobsen,1842–1914,Danish brewer,https://upload.wikimedia.org/wikipedia/commons/9/94/Carl_Jacobsen_%28Jerndorff%29.jpg,https://www.carlsberg.com/media/2984/fibre-card-primary-hero-image.jpg
Danone,Daniel Carasso,1905–2009,French businessman,https://www.foodbev.com/wp-content/uploads/2009/05/20/18319_daniel-carasso.jpg,https://www.foodengineeringmag.com/ext/resources/FE-Latest-Headlines/FE-latest-headlines-11/Packshot_yaourt_Danone_aux_fraises_-_Mexique.png?1467910848
Edsel,Edsel Ford,1893–1943,American,https://upload.wikimedia.org/wikipedia/commons/3/37/Edsel_Bryant_Ford.jpg,https://www.wired.com/wp-content/uploads/archive/images/article/full/2008/09/edsel_ford_450px.jpg
Ella's Kitchen,Ella Lindley,born 2000,British,https://miro.medium.com/max/1000/1*md5inE4EMoMd5XmKlkrqfw.jpeg,https://files.ellaskitchen.co.uk/generic/fruit-veg-puree-range.png
Graceland,Grace Toof,1860–1928,American,https://images.findagrave.com/photos/2019/220/60549573_11102532-598d-402e-8ee8-a08454278369.jpeg,https://images-prod.anothermag.com/900/azure/another-prod/330/1/331040.jpg
Ken,Kenneth Handler,1944-1994,American,https://images.findagrave.com/photos/2019/304/27700879_eec4170e-d74b-4729-9932-c8fedfd8dfd7.jpeg,"https://media.gq.com/photos/60490640d998fdd8d87598fb/1:1/w_1200,h_1200,c_limit/GettyImages-908688.jpg"
Apple Lisa,Lisa Brennan-Jobs,born 1978,American writer,https://upload.wikimedia.org/wikipedia/commons/b/b0/Lisa_Brennan-Jobs.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Apple-lisa-1.jpg/1024px-Apple-lisa-1.jpg
Mercedes-Benz,Mercédès Jellinek,1889–1929,Austrian,https://upload.wikimedia.org/wikipedia/commons/0/08/Mercedes_jellinek_adult.jpg,https://group.mercedes-benz.com/bilder/konzern/tradition/die-entstehung-des-markennamens-mercedes-benz/geschichte-des-mercedes-benz-sterns/2001dig410-w600xh0.jpg
MySQL,My Widenius,born 1980s,Finnish artist,https://images.squarespace-cdn.com/content/v1/5d95c81b63895e4db9705539/a578d99e-a397-4803-a627-44a837cf788d/IMG_3671.JPG,https://1000logos.net/wp-content/uploads/2020/08/MySQL-Logo.jpg
Sara Lee,Sara Lee Schupf,born 1941,American,https://chewingthefat.us.com/wp-content/uploads/2021/10/Sara-Lee-Schupf.jpg,https://static.wikia.nocookie.net/sml/images/0/04/Sara_Lee_Cheesecake_Transparent.PNG/revision/latest/scale-to-width-down/1200?cb=20200124231555
Stanford**,Leland Stanford Jr.,1868-1886,American,https://upload.wikimedia.org/wikipedia/en/a/a4/Lelandstanfordjr.jpg,https://svgprinted.com/wp-content/uploads/2020/06/Stanford-University.jpg
Tootsie Rolls,Clara “Tootsie” Hirschfeld,1890–1976,American,https://images.findagrave.com/photos250/photos/2020/270/208396827_9ca08a60-1f37-4451-88d3-e2ef63661caa.png,https://www.mashed.com/img/gallery/the-untold-truth-of-tootsie-rolls/l-intro-1601047978.jpg
Wendy's,Wendy Thomas,born 1961,American businesswoman,https://biooverview.com/wp-content/uploads/2022/06/Wendy-Thomas-Net-Worth.jpg,https://static.wikia.nocookie.net/bigidea/images/c/c9/Wendys_Newer_Logo.png/revision/latest?cb=20211027135746
