language,word,group
Albanian,beton,beton
Basque,hormigoi,formigon
Belarusian,бето́н,beton
Breton,betoñs,beton
Bulgarian,бето́н,beton
Catalan,formigó,formigon
Czech,beton,beton
Danish,beton,beton
Dutch,beton,beton
English,concrete,concrete
Estonian,betoon,beton
Finnish,betoni,beton
French,béton,beton
Galician,formigón,formigon
German,Beton,beton
Greek,σκυρόδεμα\n(skyródema),skyrodema
Hungarian,beton,beton
Icelandic,steypa,steypa
Irish,coincréit,concrete
Italian,calcestruzzo,calcestruzzo
Latvian,betons,beton
Lithuanian,betonas,beton
Luxembourgish,Bëtong,beton
Macedonian,бетон,beton
Maltese,konkrit,concrete
Norwegian,betong,beton
Polish,beton,beton
Portuguese,betão,beton
Romanian,beton,beton
Russian,бето́н,beton
Serbo-Croatian,бето́н\nbeton,beton
Scottish,cruadhtan,cruadhtan
Slovak,betón,beton
Slovene,beton,beton
Spanish,hormigón,formigon
Swedish,betong,beton
Turkish,beton,beton
Ukrainian,бето́н,beton
Welsh,concrit,concrete

Armenian,բետոն\n(beton),beton
Azeri,beton,beton
Georgian,ბეტონი\n(bet’oni),beton
Arabic,خرسانة\n(ḵarasāna),karasana
Hebrew,בטון\n(beton),beton
Persian,بتن\n(beton),beton
Kazakh,бетон,beton
