country,word,actual,image,crop,description
Cuba,Cuban sandwich,USA,"https://static01.nyt.com/images/2023/10/12/multimedia/ND-Cuban-Sandwich2-tfvz/ND-Cuban-Sandwich2-tfvz-superJumbo.jpg",,invented in Florida
Denmark,Danish pastry,Austria,https://static.toiimg.com/thumb/75700831.cms?imgsize=1661190&width=800&height=800,,probably invented in Austria
Netherlands,Dutch baby,USA,"https://www.simplyrecipes.com/thmb/7BuPsAy0YmxNOR5idXso7PxAuPo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Dutch-Baby-LEAD-02-e36bb2d3d5e84d9891039782dc670761.jpg",,invented in the USA (and named after Germany)
France,French dip,USA,"https://hips.hearstapps.com/thepioneerwoman/wp-content/uploads/2016/05/dsc_0580.jpg?crop=1xw:0.845229151014275xh;center,top&resize=1200:*",,invented in California
France,French fries,Belgium,https://newworldreview.com/wp-content/uploads/2009/08/belgianfrites.jpg,,probably invented in Belgium
Germany,German\nchocolate cake,USA,https://tastesbetterfromscratch.com/wp-content/uploads/2017/05/German-Chocolate-Cake-3-1.jpg,,invented in the USA (and named after Samuel German)
Hawaii,Hawaiian pizza,Canada,https://ichef.bbci.co.uk/images/ic/1200xn/p0gxqxcc.jpg,,invented in Canada (by a Greek)
Italy,Italian dressing,USA,https://natashaskitchen.com/wp-content/uploads/2020/03/Italian-Dressing.jpg,,invented in Massachusetts
London,London broil,USA,https://www.aberdeenskitchen.com/wp-content/uploads/2022/10/Easy-Tender-London-Broil-2.jpg,0.8
Mexico,Mexican\nwedding cakes,Turkey,https://www.cookingclassy.com/wp-content/uploads/2018/11/mexican-wedding-cookies-4.jpg,,likely Ottoman; also mis-known as Russian tea cakes
Mongolia,Mongolian barbecue,Taiwan,"https://substackcdn.com/image/fetch/w_520,h_272,c_fill,f_auto,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F8d221bbf-11ee-45a8-adfe-ac9f8292efd4_1792x1196.png"
Russia,Russian dressing,USA,https://www.onceuponachef.com/images/2022/03/Russian-dressing-1.jpg,,invented in New Hampshire
Salisbury,Salisbury steak,USA,https://www.recipetineats.com/wp-content/uploads/2015/12/Salisbury-Steak-2.jpg,,invented in the USA (and named after James Salisbury)
Scotland,Scotch eggs,England,https://www.thecluckingpig.com/uploads/4/6/7/3/46735973/the-clucking-pig-gourmet-scotch-eggs-1_orig.jpg
Singapore,Singapore noodles,Hong Kong,https://images.getrecipekit.com/20221203000052-how-to-make-singapore-noodles-recipe.png?aspect_ratio=16:9&quality=90&
Switzerland,Swiss roll,Austria,https://bakingamoment.com/wp-content/uploads/2024/04/IMG_0427-swiss-roll-cake.jpg,,probably invented in Austria
Turkey,turkey,Mexico,https://assets.unileversolutions.com/recipes-v2/71644.jpg,,domesticated in pre-Columbian Mexico
Wales,Welsh rarebit,England,"https://www.allrecipes.com/thmb/RHSF0_jjl1IxKiBdcy7xzVg06SY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-164787-Real-Welsh-Rarebit-DDMFS-4x3-ebe436b14fc44797ba24d0ea3845b528.jpg",,invented in England (and named pejoratively)
