language,word,group
Albanian,dhjetor,calque
Arabic,ديسمبر\n(disimbir)
Armenian,դեկտեմբեր\n(dektember)
Azeri,dekabr
Basque,abendu,Christmas
Belarusian,снежань\n(snjéžanʹ),cold
Breton,Kerzu,dark
Bulgarian,декември\n(dekembri)
Catalan,desembre
Czech,prosinec,dark
Danish,december
Dutch,december
English,December
Estonian,detsember
Faroese,desember
Finnish,joulukuu,Christmas
French,décembre
Galician,decembro
Georgian,დეკემბერი\n(deḳemberi)
German,Dezember
Greek,Δεκέμβριος\n(dekémvrios)
Hebrew,דצמבר\n(detsémber)
Hungarian,december
Icelandic,desember
Irish,Mí na Nollag,Christmas
Italian,dicembre
Latin,december
Kazakh,желтоқсан\n(jeltoqsan),other
Latvian,decembris
Lithuanian,gruodis,cold
Luxembourgish,Dezember
Macedonian,декември\n(dekemvri)
Maltese,Diċembru
Norwegian,desember
Persian,دسامبر\n(desâmbr)
Polish,grudzień,cold
Portuguese,dezembro
Romanian,decembrie
Russian,декабрь\n(dekábrʹ)
Scottish,Dùbhlachd,dark
Serbo-Croatian,децембар\nprosinac,December|dark
Slovak,december
Slovene,december
Spanish,diciembre
Swedish,december
Turkish,aralık,other
Ukrainian,грудень\n(hrúdenʹ),cold
Welsh,Rhagfyr,dark
