language,word,group
Albanian,qen,c
Arabic,كلب\n(kalb),k
Armenian,šun,pie
Azeri,köpək/it,it
Basque,txakur,other
Belarusian,сабака/пес,pie|p
Breton,ki,pie
Bulgarian,куче\n(kutche),other
Catalan,gos,other
Czech,pes,p
Danish,hund,h
Dutch,hond,h
English,dog,other
Estonian,koer,other
Faroese,hundur,h
Finnish,koira,other
French,chien,c
Galician,can,c
Georgian,dzagli,other
German,Hund,h
Greek,σκύλος\n(skilos),other
Hebrew,כלב\n(kelev),k
Hungarian,kutya,other
Icelandic,hundur,h
Irish,madra,other
Italian,cane,c
Kazakh,ит (it),it
Latin,canis,c
Latvian,suns,pie
Lithuanian,šuo,pie
Luxembourgish,Hond,h
Macedonian,куче/пес,other|p
Maltese,kelb,k
Norwegian,hund,h
Persian,سگ\n(sag),pie
Polish,pies,p
Portuguese,cão,c
Romanian,câine,c
Russian,собака/пёс\n(sabaka/pyos),pie|p
Scottish,cù,pie
Serbo-Croatian,пас\npas,p
Slovak,pes,p
Slovene,pes,p
Spanish,perro,other
Swedish,hund,h
Turkish,köpek/it,it
Ukrainian,собака/пес\n(sobake/pes),pie|p
Welsh,ci,pie
