language,word,group
Albanian,Pashkët,pesach
Basque,Pazkoa,pesach
Belarusian,Вялікдзень,great
Breton,Pask,pesach
Bulgarian,Великден,great
Catalan,Pasqua,pesach
Czech,Velikonoce,great
Danish,påske,pesach
Dutch,Pasen,pesach
English,Easter,easter
Estonian,lihavõtted/\nülestõusmispühad,meat|resurrection
Finnish,Pääsiäinen,free
French,Pâques,pesach
Galician,Pascua,pesach
German,Ostern,easter
Greek,Πάσχα,pesach
Hungarian,húsvét,meat
Icelandic,páskar,pesach
Irish,Cáisc,pesach
Italian,Pasqua,pesach
Latin,pascha,pesach
Latvian,Lieldienas,great
Lithuanian,Velykos,great
Luxembourgish,Ouschteren,easter
Macedonian,Велигден,great
Maltese,Għid il-Kbir,great
Norwegian,påske,pesach
Polish,Wielkanoc,great
Portuguese,Páscoa,pesach
Romanian,Paști,pesach
Russian,Пасха,pesach
Serbo-Croatian,Ускрс/Васкрс\nUskrs/Vaskrs,resurrection
Slovak,Veľká Noc,great
Slovene,Velika noč,great
Spanish,pascua,pesach
Swedish,påsk,pesach
Turkish,paskalya,pesach
Ukrainian,Великдень/\nПаска,great|pesach
Welsh,Pasg,pesach

Azeri,Pasxa,pesach
Armenian,զատիկ\n(zatik),sacrifice
Georgian,აღდგომა\n(aghdgoma),resurrection
Arabic,عيد الفصح\n(ʿīd al-fiṣḥ),pesach
Persian,عید پاک\n(eyd-e pâk),pesach
Hebrew,פסחא\n(páskha),pesach
Kazakh,Пасха,pesach
