language,word,group
Albanian,tetëdhjetë,8
Basque,laurogei,4
Belarusian,восемдзесят,8
Breton,pevar-ugent,4
Bulgarian,осемдесет,8
Catalan,vuitanta,8
Czech,osmdesát,8
Danish,firs,4
Dutch,tachtig,8
English,eighty,8
Estonian,kaheksa-\nkümmend,8
Faroese,áttati/\nfýrs,84
Finnish,kahdeksan-\nkymmentä,8
French,quatre-vingts,4
Galician,oitenta,8
German,achtzig,8
Greek,ογδόντα\n(ogdónta),8
Hungarian,nyolcvan,8
Icelandic,áttatíu,8
Irish,ochtó\nceithre scór,84
Italian,ottanta,8
Latin,octōgintā,8
Latvian,astoņdesmit,8
Lithuanian,aštuonias-\ndešimt,8
Luxembourgish,achzeg,8
Macedonian,осумдесет,8
Maltese,tmenin,e
Norwegian,åtti,8
Polish,osiemdziesiąt,8
Portuguese,oitenta,8
Romanian,optzeci,8
Russian,\n\nвосемьдесят,8
Scottish,ochdad\nceithir fichead,84
Serbo-Croatian,осамдесет\nosamdeset,8
Slovak,osemdesiat,8
Slovene,osemdeset,8
Spanish,ochenta,8
Swedish,åttio,8
Turkish,seksen,8
Ukrainian,вісімдесят,8
Welsh,wyth deg/\npedwar ugain,84

Georgian,ოთხმოცი\n(otxmoci),4
Azeri,səksən,8
Armenian,ութսուն\n(utʿsun),8
Arabic,ثمانون\n(ṯamānūna),e
Hebrew,שמונים\n(shmonim),e
Persian,هشتاد\n(haštâd),8
Kazakh,сексен\n(seksen),8
