word,name,born,died,description,image
draconian,Draco,c.650BC,c.600BC,Athenian legislator known for his harsh laws,https://pbs.twimg.com/media/Bgt8zNzCEAAje_l.jpg
platonic,Plato,424BC,348BC,Athenian philosopher,http://s3.media.squarespace.com/production/1074073/12656271/wp-content/uploads/2010/10/plato.jpg
July,Julius Caesar,100BC,44BC,Roman politician and general,https://www.theleidencollection.com/wp-content/uploads/1970/01/Rubens-Caesar-Brandenburg-1200x1586.jpg
August,Augustus,63BC,AD14,Roman Emperor,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/portrait-of-the-emperor-augustus-half-length-holding-a-baton-and-resting-his-hand-on-a-globe-follower-of-bernardino-campi.jpg
ladybird,"""Our Lady"", Mary",c.18BC,c.AD41,mother of Jesus,https://salemnet.vo.llnwd.net/media/cms/CW/faith/32327-virgin-mary-1200.1200w.tn.jpg
tawdry,St Audrey,c.636,679,Northumbrian queen commemorated with ribbons,http://www.catholic.org/files/images/saints/6.jpg
algorithm,al-Khwarizmi,c.780,c.850,Persian scholar,http://www.babansadik.com/wp-content/uploads/2017/03/raihan.jpg
Bluetooth,Harald Bluetooth,911,986,unifying King of Denmark and Norway,https://blogs-images.forbes.com/shelisrael/files/2012/04/King-Bluetooth.jpeg
dunce,Duns Scotus,c.1266,1308,Scottish theologian disliked by Protestant reformers,https://upload.wikimedia.org/wikipedia/commons/c/ce/JohnDunsScotus_-_full.jpg
fuchsia,Leonhart Fuchs,1501,1566,German botanist,http://4.bp.blogspot.com/-Zg6rHhkhEg8/UE07bHLv7DI/AAAAAAAAAF8/M8u6nqhEqZs/s1600/DSC_0343.jpg
nicotine,Jean Nicot,1530,1600,French diplomat who introduced tobacco to France,http://delivery.gettyimages.com/xr/51238806.jpg?v=1&c=IWSAsset&k=3&d=77BFBA49EF878921F7C3FC3F69D929FDD3F96A9C6B07D2101DA8351CD1632BAB647883E32B42A885F3D0D94E1BCCDD78
guy,Guy Fawkes,1570,1606,Anglo-Catholic plotter later burned as an effigy,https://www.thesun.co.uk/wp-content/uploads/2016/10/nintchdbpict000018002551.jpg
magnolia,Pierre Magnol,1638,1715,French botanist,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Pierre-Magnol-1638-1715.jpg/1200px-Pierre-Magnol-1638-1715.jpg
silhouette,Étienne de Silhouette,1709,1767,French finance minister accused of austerity,https://www.projet-voltaire.fr/pv-wp/wp-content/uploads/2014/07/Silhouette-236x300.jpg
sandwich,Earl of Sandwich,1718,1792,British statesman and bread lover,https://pbs.twimg.com/profile_images/1863200733/John_Montagu_400x400.jpeg
mesmerize,Franz Mesmer,1734,1815,German physician,https://media1.britannica.com/eb-media/74/160374-004-47E5ED41.jpg
lynch,Charles Lynch,1736,1796,"Virginian revolutionary and punisher of Loyalists",https://newafrikan77.files.wordpress.com/2016/05/d60496a32af92c09de298b05bbf88c45.jpg
guillotine,Joseph-Ignace Guillotin,1738,1814,French physician and reformer (but not inventor),http://wordsmith.org/words/images/guillotine_large.jpg
sadism,Marquis de Sade,1740,1814,French libertine writer,http://i.dailymail.co.uk/i/pix/2014/12/20/242E2FA100000578-2881705-image-a-27_1419079569837.jpg
