word,name,born,died,description,portrait,food
Béchamel sauce,Louis de Bechamel,1630,1703,French financer,https://alchetron.com/cdn/louis-de-bechamel-b967e82c-abb5-4564-a76e-766f3c63ca8-resize-750.jpg,https://www.196flavors.com/wp-content/uploads/2020/03/bechamel-2-FP.jpeg
Beef Wellington,Duke of Wellington,1769,1852,British statesman & soldier,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Sir_Arthur_Wellesley%2C_1st_Duke_of_Wellington.png/220px-Sir_Arthur_Wellesley%2C_1st_Duke_of_Wellington.png,https://www.julieseatsandtreats.com/wp-content/uploads/2020/11/Beef-Wellington-4.jpg
Caesar salad,Caesar Cardini,1896,1956,Italian restaurateur,https://classicsandiego.com/wp-content/uploads/2016/03/Caesar-Cardini-Original-Caesars-Place-Tijuana-1935.jpg,https://www.jessicagavin.com/wp-content/uploads/2019/07/caesar-salad-10-1200.jpg
Carpaccio,Vittore Carpaccio,1465,1525/6,Italian painter,https://upload.wikimedia.org/wikipedia/commons/6/67/Vittore_Carpaccio.jpg,https://ireallylikefood.com/wp-content/uploads/2021/01/Raw-Beef-Carpaccio-.jpg
Cobb salad,Robert Cobb,1899,1970,American restaurateur,https://images.findagrave.com/photos250/photos/2003/323/8583_1069381911.jpg,https://hips.hearstapps.com/delish/assets/18/11/1520887294-cobb-salad-delish.jpg
Clementine,Clément Rodier,1839,1904,French missionary,https://alchetron.com/cdn/clment-rodier-2d576b0b-9325-4a00-b10e-859a0093adc-resize-750.jpeg,https://www.alimentarium.org/en/system/files/thumbnails/image/AL012-06%20clementine.jpg
Garibaldi biscuit,Giuseppe Garibaldi,1807,1882,Italian general,https://upload.wikimedia.org/wikipedia/commons/c/c1/Gebr%C3%BCder_Alinari_-_Giuseppe_Garibaldi_%28Zeno_Fotografie%29.jpg,https://thumbs.dreamstime.com/b/garibaldi-biscuits-pile-traditional-english-isolated-white-background-44312409.jpg
Graham cracker,Sylvester Graham,1794,1851,American dietary reformer,https://cdn.britannica.com/70/135570-050-B8BC3289/Sylvester-Graham.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Graham-Cracker-Stack.jpg/1280px-Graham-Cracker-Stack.jpg
Granny Smith,Maria Ann Smith,1799,1870,Australian orchardist,https://upload.wikimedia.org/wikipedia/commons/1/1b/Granny_Smith.jpg,https://biosuedtirol.com/uploads/apples_sort/biosuedtirol_granny-smith_detail.jpg
Hass avocado,Rudolph Hass,1892,1952,American horticulturalist,https://m.media-amazon.com/images/M/MV5BZGVjYmEwNmYtMTk2ZC00Y2QwLTkzOTctYTM5NmY2NzRhYmIxXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_.jpg,https://cdn.shopify.com/s/files/1/2296/4361/products/avocado-hass_a6eccc2a-adc7-4697-966c-8aba01dd6fb8_530x@2x.jpg?v=1516168626
Kaiser roll,Franz Joseph I,1830,1916,Austro-Hungarian emperor,https://upload.wikimedia.org/wikipedia/commons/e/ee/Emperor_Francis_Joseph.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Kaisersemmel-.jpg
Loganberries,James Harvey Logan,1841,1928,American judge & botanist,https://images.findagrave.com/photos/2020/22/87723242_070042d7-1a9a-4598-b559-0e0a54d0b499.png,https://s3.eu-west-2.amazonaws.com/growinginteractive/plants/LOG.jpg
Macadamia nuts,John Macadam,1827,1865,Australian medical teacher,https://upload.wikimedia.org/wikipedia/commons/e/e2/John_Macadam_%281827%E2%80%931865%29.jpg,https://cdn-prod.medicalnewstoday.com/content/images/articles/324/324233/macadamia-nuts.jpg
Mozartkugel,Wolfgand Amadeus Mozart,1756,1791,Austrian composer,https://www.biography.com/.image/t_share/MTE1ODA0OTcxNzMyNjY1ODY5/wolfgang-mozart-9417115-2-402.jpg,https://pbs.twimg.com/media/Eg6knoSX0AY4Tud.jpg
Nachos,Ignacio "Nacho" Anaya,1895,1975,Mexican maître d',https://static1.squarespace.com/static/583e5fa2e6f2e18631f2da34/t/589cda5759cc685485c48063/1486674527299/,https://www.rachaelraymag.com/.image/t_share/MTczNjU5ODM4ODc2ODIxNDkw/loaded-shrimp-nachos-e4d4b8b9.jpg
Pavlova,Anna Pavlova,1881,1931,Russian ballerina,https://www.biography.com/.image/t_share/MTc5ODc5NDAwMDc3MDEwMjY0/gettyimages-3142955.jpg,https://www.recipetineats.com/wp-content/uploads/2016/12/Pavlova-4-copy.jpg
Peach Melba,Nellie Melba,1861,1931,Australian soprano,https://mahlerfoundation.org/wp-content/uploads/2015/01/Melba2.jpg,https://img.taste.com.au/H9hUNKdM/w1200-h630-cfill/taste/2016/11/peach-melba-80961-1.jpeg
