language,word,group
Albanian,futboll,loan
Basque,futbola,loan
Belarusian,футбол\n(futbol),loan
Breton,mell-droad,calque
Bulgarian,футбол\n(futbol),loan
Catalan,futbol,loan
Czech,fotbal/\nkopaná,loan|kick
Danish,fodbold,germanic
Dutch,voetbal,germanic
English,football,origin
Estonian,jalgpall,calque
Finnish,jalkapallo,calque
French,foot/\nfootball,loan
Galician,fútbol,loan
German,Fußball,germanic
Greek,ποδόσφαιρο\n(podósfairo),calque
Hungarian,futball/foci/\nlabdarúgás,kick|loan
Icelandic,fótbolti/\nknattspyrna ,kick|loan
Irish,soccer\n(sacar)/\nfootball,origin|soccer
Italian,calcio,kick
Latin,pediludium,leg
Latvian,futbols/\nkājubumba,loan|calque
Lithuanian,futbolas,loan
Luxembourgish,Foussball,germanic
Macedonian,фудбал\n(fudbal),loan
Maltese,futbol,loan
Norwegian,fotball,germanic
Portuguese,futebol,loan
Romanian,fotbal,loan
Polish,piłka nożna,calque
Russian,футбол\n(futbol),loan
Slovak,futbal,loan
Slovenian,nogomet,leg
Spanish,fútbol,loan
Swedish,fotboll,germanic
Welsh,pêl-droed,calque
Serbo-Croatian,Фудбал\n(fudbal)/\nnogomet,leg|loan
Turkish,futbol,loan
Ukrainian,Футбол\n(futbol),loan
