language,greek,flag
English,Greek,UK
Hebrew,Chinese,Israel
Greek,Chinese,Greece
Hungarian,Chinese,Hungary
Spanish,Chinese,Spain
Portuguese,Chinese,Portugal
Finnish,Hebrew,Finland
Croatian,Spanish,Croatia
Danish,Volapük,Denmark
Esperanto,Volapük,https://www.fotw.info/images/q/qy-eo.gif
Polish,Chinese,Poland
Swedish,Greek,Sweden
Norwegian,Greek,Norway
Dutch,Chinese,Netherlands
Romanian,Turkish,Romania
Icelandic,Hebrew,Iceland
Estonian,Chinese,Estonia
Latvian,Chinese,Latvia
Lithuanian,Chinese,Lithuania
Russian,Chinese,Russia
Belarussian,Chinese,Belarus
French,Chinese,France
Cypriot Greek,Turkish,Cyprus

Czech,Spanish,Czechia
Slovak,Spanish,Slovakia
Slovene,Spanish,Slovenia
Serbian,Spanish,Serbia
Macedonian,Spanish,Macedonia
Italian,Arabic,Italy

Arabic,Hindi,Saudi Arabia
Chinese,Martian,https://cdn.britannica.com/90/7490-004-BAD4AA72/Flag-China.jpg
Volapük,,https://www.fotw.info/images/q/qy-vo.gif
Hindi,,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/1920px-Flag_of_India.svg.png
Turkish,,Turkey
Martian,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/FlagOfMars-OriginalColors.svg/1920px-FlagOfMars-OriginalColors.svg.png

German,train station,Germany
train station,,https://www.fotw.info/images/d/de$rw-db.gif

