language,word,group
Albanian,jo,n
Basque,ez,e
Belarusian,не,n
Breton,nann*,c
Bulgarian,не,n
Catalan,no,n
Czech,ne,n
Danish,nej,n
Dutch,nee,n
English,no,n
Estonian,ei,f
Faroese,nei,n
Finnish,ei,f
French,non,n
Galician,non,n
German,nein,n
Greek,όχι\n(óchi),o
Hungarian,nem,f
Icelandic,nei,n
Irish,ní hé*,c
Italian,no,n
Latvian,nē,n
Lithuanian,ne,n
Luxembourgish,neen,n
Macedonian,не,n
Maltese,le,l
Norwegian,nei,n
Polish,nie,n
Portuguese,não,n
Romanian,nu,n
Russian,нет\n(nyet),n
Scottish,*,c
Serbo-Croatian,не\nne,n
Slovak,nie,n
Slovene,ne,n
Spanish,no,n
Swedish,nej,n
Turkish,yok\nhayır,t
Ukrainian,ні,n
Welsh,na*,c

