language,word,group
Albanian,benzinë,b
Arabic,بنزين\n(banzīn),b
Armenian,բենզին\n(benzin),b
Azeri,benzin,b
Basque,gasolina,g
Belarusian,бензін\n(benzin),b
Breton,esañs,e
Bulgarian,бензин\n(benzin),b
Catalan,benzina,b
Czech,benzín,b
Danish,benzin,b
Dutch,benzine,b
English,petrol,p
Estonian,bensiin,b
Faroese,bensin,b
Finnish,bensiini,b
French,essence,e
Galician,gasolina,g
Georgian,ბენზინი\n(benzini),b
German,Benzin,b
Greek,βενζίνη\n(venzini),b
Hebrew,בנזין\n(benzin),b
Hungarian,benzin,b
Icelandic,bensin,b
Irish,peitreal,p
Italian,benzina,b
Kazakh,бензин,b
Latin,benzinium,b
Latvian,benzīns,b
Lithuanian,benzinas,b
Luxembourgish,Benzin,b
Macedonian,бензин\n(benzin),b
Maltese,petrol,p
Norwegian,bensin,b
Persian,بنزین\n(benzin),b
Polish,benzyna,b
Portuguese,gasolina,g
Romanian,benzină,b
Russian,бензин\n(benzin),b
Scottish,peatral,p
Serbo-Croatian,бензин\nbenzin,b
Slovak,benzín,b
Slovene,bencin,b
Spanish,gasolina,g
Swedish,bensin,b
Turkish,benzin,b
Ukrainian,бензин\n(benzin),b
Welsh,petrol,p
