language,word,group

English,shit,skita
German,Scheiße,skita
Swedish,skit,skita
Norwegian,skit,skita
Icelandic,skítur,skita
Luxembourgish,Schäiss,skita
Dutch,schijt/\nstront,skita|stront

French,merde,merda
Italian,merda,merda
Latin,merda,merda
Spanish,mierda,merda
Catalan,merda/\ntifa,merda|tifa
Galician,merda,merda
Portuguese,merda,merda

Belarusian,гаўно/\nлайно,govьno|lajьno
Bulgarian,говно/\nлайно,govьno|lajьno
Russian,говно\n(govno),govьno
Ukrainian,лайно,lajьno
Czech,hovno,govьno
Slovak,hovno,govьno
Polish,gówno/\nłajno,govьno|lajьno

Basque,kaka,kakka
Irish,cac,kakka
Welsh,cachu,kakka
Breton,kaoc'h,kakka
Romanian,căcat/\nrahat,kakka|rahat

Slovene,govno/\nsranje,govьno|sḱer
Greek,σκατά\n(skata),sḱer
Macedonian,срање,sḱer
Serbo-Croatian,говно/срање\ngovno/sranje,govьno|sḱer

Latvian,sūds,suds
Lithuanian,šūdas,suds

Danish,lort,lurtaz
Albanian,mut,mut
Estonian,pask,paska
Finnish,paska,paska
Hungarian,szar,śarɜ
Turkish,bok,bok
Maltese,ħara,hara
