language,word,group
Albanian,Nallbani
Arabic,حداد\nHaddad
Armenian,Դարբինյան\nDarbinyan
Azeri,Dəmirçi,d
Basque,Arozena
Belarusian,Кавалёў\nKavalyow,k
Breton,Goff,g
Bulgarian,Ковачев\nKovachev,k
Catalan,Ferrer,f
Czech,Kovář,k
Danish,Smed,s
Dutch,Desmet,s
English,Smith,s
Estonian,Sepp,S
Finnish,Seppälä,S
French,Lefebvre,F
Galician,Ferreira,f
Georgian,მჭედლიშვილი\nMchedlishvili
German,Schmidt,s
Greek,Σιδεράς\nSideras
Hebrew,חדד‬\nHaddad
Hungarian,Kovács,k
Icelandic,
Irish,Mac Gabhann,g
Italian,Ferrari,f
Kazakh,
Latvian,Kalējs,K
Lithuanian,Kalvis,K
Luxembourgish,Schmit,s
Macedonian,Ковачев\nKovačev,k
Maltese,
Norwegian,Smestad,s
Persian,زرگر\nZargar
Polish,Kowalski,k
Portuguese,Ferreira,f
Romanian,Fieraru,f
Russian,Кузнецов\nKuznetsov,k
Scottish,McGowan,g
Serbo-Croatian,Ковачевић\nKovačević,k
Slovak,Kováč,k
Slovene,Kovač,k
Spanish,Herrero,f
Swedish,Smed,s
Turkish,Demirci,d
Ukrainian,Ковал\nKoval,k
Welsh,
