
language,word,group
French,Schtroumpfs,sh
Portuguese,Estrumpfes,sh
Romanian,Ștrumfi,sh
Serbo-Croatian,Štrumpfovi\nШтрумпфови,sh
Icelandic,Strumparnir,sh
Greek,Στρουμφάκια\n(Stroumfakia),sh
Macedonian,Штрумфови,sh

Dutch,Smurfen,sm
English,Smurfs,sm
Polish,Smerfy,sm
Finnish,Smurffit,sm
Norwegian,Smurfene,sm
Russian,\nСмурфы\n(Smurfy),sm
Swedish,Smurferna,sm
Welsh,Smyrffs,sm
Breton,Chmarfed,sm
Bulgarian,Смърфовете\n(Smurfovete),sm
Estonian,Smurfid,sm
Lithuanian,Smurfai,sm
Latvian,Smurfi,sm

Slovene,Smrkci,s
Slovak,Šmolkovia,s
Danish,Smølferne,s
Turkish,Şirinler,s
German,Schlümpfe,s
Luxembourgish,Schlumpfen,s
Czech,Šmoulové,s

Italian,Puffi,o
Basque,Pottokiak,o
Spanish,Pitufos,o
Galician,Pitufos,o
Catalan,Barrufets\n(Pitufets),o
Hungarian,Hupikék Törpikék,o

