language,word,group
Albanian,e dielë,s
Basque,igande,r
Belarusian,нядзеля,n
Breton,Sul,s
Bulgarian,неделя,n
Catalan,diumenge,d
Czech,neděle,n
Danish,søndag,s
Dutch,zondag,s
English,Sunday,s
Estonian,pühapäev,r
Faroese,sunnudagur,s
Finnish,sunnuntai,s
French,dimanche,d
Galician,domingo,d
German,Sonntag,s
Greek,Κυριακή,d
Hungarian,vasárnap,m
Icelandic,sunnudagur,s
Irish,Domhnach,d
Italian,domenica,d
Latvian,svētdiena,r
Lithuanian,sekmadienis,o
Luxembourgish,Sonndeg,s
Macedonian,недела,n
Maltese,il-Ħadd,o
Norwegian,søndag,s
Polish,niedziela,n
Portuguese,domingo,d
Romanian,duminică,d
Russian,воскресенье,r
Scottish,Didòmhnaich,d
Serbo-Croatian,недеља\nnedjelja,n
Slovak,nedeľa,n
Slovene,nedelja,n
Spanish,domingo,d
Swedish,söndag,s
Turkish,pazar,m
Ukrainian,неділя,n
Welsh,dydd Sul,s

Armenian,կիրակի\n(kiraki),d
Azeri,Bazar,m
Georgian,კვირა\n(kvira),d
Arabic,الأحد\n(al-ʾaḥad),o
Hebrew,יום_ראשון\n(yom rishón),o
Persian,یَکشَنبه\n(yekšanbe),o
Kazakh,жексенбі,o
