language,word,group
Albanian,domate,t
Arabic,بندورة (banadūra)\nطماطم (ṭamāṭim),t|p
Armenian,լոլիկ\n(lolik),other
Azeri,pomidor,p
Basque,tomate,t
Belarusian,памідор\n(pamidór),p
Breton,tomatez,t
Bulgarian,домат\n(domát)
Catalan,tomàquet,t
Czech,rajče,par
Danish,tomat,t
Dutch,tomaat,t
English,tomato,t
Estonian,tomat,t
Faroese,tomat,t
Finnish,tomaatti,t
French,tomate,t
Galician,tomate,t
Georgian,პომიდორი\n(ṗomidori),p
German,Tomate\nParadeiser,t|par
Greek,ντομάτα\n(domáta),t
Hebrew,עגבניה\n(agvaniyá),other
Hungarian,paradicsom,par
Icelandic,tómatur,t
Irish,tráta,t
Italian,pomodoro,p
Kazakh,pomïdor\nqızanaq,t|other
Latvian,tomāts,t
Lithuanian,pomidoras,p
Luxembourgish,Tomate,t
Macedonian,патлиџан\n(patlidžan),other
Maltese,tadama,par
Norwegian,tomat,t
Persian,گوجه فرنگی\n(goje farangi),other
Polish,pomidor,p
Portuguese,tomate,t
Romanian,roșie,other
Russian,помидор\n(pomidór),p
Scottish,tomàto,t
Serbo-Croatian,парадајз\nparadajz\nrajčica,par
Slovak,paradajka\nrajčina,par
Slovene,paradižnik,par
Spanish,tomate,t
Swedish,tomat,t
Turkish,domates,t
Ukrainian,помідор\n(pomidór),p
Welsh,tomato,t
