language,word,country,flag
North Macedonia,misir (=Egypt),Egypt
USA,turkey,Turkey
France,dinde,India
Turkey,hindi,India
India,Hindi: pīrū|Malayalam: ṭarkki,Peru|Turkey
Brazil,peru,Peru
Russia,indjúk,India
Poland,indyk,India
Netherlands,kalkoen\n(=Calicut),India
Peru,pava,non-geographical etymology
Croatia,puran,Peru
Scotland,Gaelic: eun-Frangach\n (=French chicken),France,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/1920px-Flag_of_Scotland.svg.png
Egypt,dīk rūmiyy\n(=Byzantine cock),Greece
Greece,galopoúla\n(<galo d'India),India
Sweden,kalkon\n(=Calicut),India
Syria,dīk al-ḥabaš\n(=Abyssinian cock),Ethiopia
Ethiopia,Amharic: ǧəgra,non-geographical etymology
Malaysia,ayam belanda\n(=Dutch chicken),Netherlands
Cambodia,mŏən baarang\n(=French chicken),France
