language,word,group
Albanian,televizion
Basque,telebista,tele
Belarusian,тэлеба́чанне,tele
Breton,skinwel,other
Bulgarian,телеви́зия
Catalan,televisió
Czech,televize
Danish,tv/\nfjernsyn,calque|tv
Dutch,televisie
English,television
Estonian,televisioon 
Faroese,sjónvarp,other
Finnish,televisio
French,télévision
Galician,televisión
German,Fernsehen,calque
Greek,τηλεόραση\n(tileórasi),tele
Hungarian,televízió
Icelandic,sjónvarp,other
Irish,teilifís,tele
Italian,televisione
Latin,tēlevīsiō
Latvian,televīzija/\ntālrāde,tv|calque
Lithuanian,televizija
Luxembourgish,Televisioun
Macedonian,телеви́зија
Maltese,televixin
Monégasque,televixon
Norwegian,tv/\nfjernsyn,calque|tv
Polish,telewizja
Portuguese,televisão
Romanian,televiziune
Russian,телеви́дение,tele
Scottish,telebhisean
Serbo-Croatian,телевизија\ntelevizija
Slovak,televízia
Slovene,televizija
Spanish,televisión
Swedish,television
Turkish,televizyon
Ukrainian,телеба́чення,tele
Welsh,teledu,tele
Hebrew,טלוויזיה\n(televízya)
Arabic,تلفاز\n(tilfāz)
Azeri,televiziya
Armenian,հեռուստատեսություն\n(heṙustatesutʿyun),calque
Persian,تلویزیون\n(televizion)
Kazakh,телевидение,tele
Georgian,ტელევიზია\n(televizia)
