language,word,group
Albanian,po,v
Basque,bai,v
Belarusian,так,t
Breton,ya*,c
Bulgarian,да,d
Catalan,sí,s
Czech,ano,a
Danish,ja,y
Dutch,ja,y
English,yes,y
Estonian,jah,y
Faroese,ja,y
Finnish,kyllä\njoo,yv
French,oui,o
Galician,si,s
German,ja,y
Greek,ναι\n(ne̞),a
Hungarian,igen,v
Icelandic,já,y
Irish,sea*,c
Italian,sì,s
Latvian,jā,y
Lithuanian,taip,t
Luxembourgish,jo,y
Macedonian,да,d
Maltese,iva,v
Norwegian,ja,y
Polish,tak,t
Portuguese,sim,s
Romanian,da,d
Russian,\nда\n(da),d
Scottish,*,c
Serbo-Croatian,да\nda,d
Slovak,áno,a
Slovene,ja,y
Spanish,sí,s
Swedish,ja,y
Turkish,evet,v
Ukrainian,так,t
Welsh,ie*,c

Georgian,
Azeri,
Armenian,
Arabic,
Hebrew,
Persian,بله (bale)\nآره (âre),u
Kazakh,иә\n(ïä),u
