country,year,name,role,cause,image,align
Poland,2010,Lech Kaczyński,president,plane crash,https://upload.wikimedia.org/wikipedia/commons/0/00/Lech_Kaczy%C5%84ski.jpg
Armenia,2007,Andranik Margaryan,prime minister,heart attack,https://lh3.googleusercontent.com/proxy/ikUlNSTvzinFFsKE3y6v8ZJA1S94B8lak9epgsB_2JqPyt8HmwpsQoHneyGDTsxWeCJhKWrglIMhA1kQrZQF_aJbl3CoEyLZQDU_uQha6RLeIWm113HZ0ms3SezREro
Kosovo,2006,Ibrahim Rugova,president,lung cancer,https://pbs.twimg.com/media/DnIu4cRW4AIvQkV.jpg
Georgia,2005,Zurab Zhvania,prime minister,carbon monoxide poisoning,https://newsimg.bbc.co.uk/media/images/40789000/jpg/_40789323_zhvania_story_afp.jpg
North Macedonia,2004,Boris Trajkovski,president,plane crash,https://balkaninsight.com/wp-content/uploads/2010/09/boris-trajkovski.jpg,1
Serbia and Montenegro,2003,Zoran Đinđić,prime minister,assassination,https://upload.wikimedia.org/wikipedia/commons/0/01/Zoran_%C4%90in%C4%91i%C4%87%2C_Davos.jpg,0
Croatia,1999,Franjo Tuđman,president,stomach cancer,https://balkaninsight.com/wp-content/uploads/2016/03/franjo-tudjman-640-photo-office-of-the-president.jpg,0.7
Hungary,1993,József Antall,prime minister,blood cancer,https://alchetron.com/cdn/jzsef-antall-066a15cb-a1d0-4619-944a-83c0c2f93ac-resize-750.jpeg,0.4
Sweden,1986,Olof Palme,prime minister,assassination,https://www.palmecenter.se/wp-content/uploads/2015/05/palmebox4.jpg,0
USSR,1985,Konstantin Chernenko,general secretary,emphysema and heart failure,"https://vignette.wikia.nocookie.net/althistory/images/a/ac/Konstantin_Chernenko_1980.jpg/revision/latest/scale-to-width-down/340?cb=20150725080741",0
Albania,1985,Enver Hoxha,first secretary,ventricular fibrillation,https://i.pinimg.com/736x/c9/14/00/c914004c00c6fdccd215b17a585acc1a.jpg
Portugal,1980,Francisco de Sá Carneiro,prime minister,plane crash,https://www.heyporto.com/wp-content/uploads/2018/11/sa-carneiro1.jpg
Yugoslavia,1980,Josip Broz Tito,president,gangrene,https://karsh.org/wordpress/wp-content/uploads/2016/10/Yousuf-Karsh-Josip-Broz-Tito-1962-1565x1960.jpg
Cyprus,1977,Makarios III,president,heart attack,https://alchetron.com/cdn/makarios-iii-4f9a465e-5180-4e41-a289-e80507f0d2c-resize-750.jpg
Spain,1975,Francisco Franco,caudillo,septic shock,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iHmQmNSqhpeI/v0/1000x-1.jpg
France,1974,Georges Pompidou,president,blood cancer,https://www.declarationuniverselledesdroitsdelarbre.org/wp-content/uploads/2019/06/Duda-Udtr-Georges-Pompidou.jpg
Iceland,1970,Bjarni Benediktsson,prime minister,house fire,https://images.findagrave.com/photos/2006/8/12199070_113681842503.jpg
Romania,1965,Gheorghe Gheorghiu-Dej¹,general secretary,lung cancer,https://gorjeanul.ro/wp-content/uploads/2016/05/gheorghiu-dej-jpg.jpg
Denmark,1960,H. C. Hansen,prime minister,cancer,http://denstoredanske.dk/@api/deki/files/11690/=24058132.jpg?size=webview
Luxembourg,1959,Pierre Frieden,prime minister,,https://upload.wikimedia.org/wikipedia/lb/thumb/5/52/PierreFrieden01.jpg/1200px-PierreFrieden01.jpg
Estonia,1956,Konstantin Päts²,president,imprisonment,https://alchetron.com/cdn/konstantin-pts-f3d344d6-4a41-41ad-9cb8-7e1343ece66-resize-750.jpeg
Greece,1955,Alexandros Papagos,prime minister,lung haemorrhage,https://img1.bdbphotos.com/images/orig/h/z/hzn0upwnzqvgnzuv.jpg?skj2io4l
Lithuania,1954,Jonas Žemaitis³,chairman,execution,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/HPIM0823.JPG/1200px-HPIM0823.JPG
Czechoslovakia,1953,Klement Gottwald,chairman,burst artery,https://images.findagrave.com/photos250/photos/2014/219/44291949_1407511503.jpg
Malta,1950,Enrico Mizzi,prime minister,,https://alchetron.com/cdn/enrico-mizzi-df1d48bf-0214-46dd-ac3c-10cc5015b76-resize-750.jpeg
Bulgaria,1950,Vasil Kolarov⁴,prime minister,,https://archive.septemvri23.com/Foto/Colarov.jpg
Germany,1945,Joseph Goebbels⁵,Chancellor,suicide,https://upload.wikimedia.org/wikipedia/commons/3/35/Bundesarchiv_Bild_146-1968-101-20A%2C_Joseph_Goebbels.jpg
Finland,1940,Kyösti Kallio,president,stroke,"https://assets.apu.fi/vqd9tl2q3uk2/174866-kallio_kyosti/ca53a34a29f4fc36c33aa8198e70c949/kallio_kyosti_eO4WT.jpg?w=2048&q=75&fit=crop-center"
Turkey,1938,Mustafa Kemal Atatürk,president,cirrhosis,https://libnews.binghamton.edu/news/specialcollections/files/2017/05/1310812-Mustafa_Kemal_Pasa1.jpg
