type,country,name,role,city,place,image,align
g,UK,Boris Johnson,PM (2019-),New York,USA,https://i2-prod.walesonline.co.uk/news/uk-news/article18054041.ece/ALTERNATES/s1200/3_Boris_Johnson_official_portrait.jpg
s,UK,George II,King (1727-60),Hanover,Brunswick-Lüneburg (now Germany),"https://www.westminster-abbey.org/media/9782/george-ii-gwd-271472.jpg?center=0.31584362139917693,0.48166666666666669&mode=crop&width=1024&height=512&rnd=132089734770000000"
g,Ireland,Éamon de Valera,Taoiseach (1937-[...]-59),New York,USA,https://cdn.britannica.com/31/79431-050-3B6BD40B/Eamon-de-Valera-republicans-civil-war-Irish.jpg
s,Ireland,Erskine Childers⁵,President (1973-74),London,UK,https://img.rasset.ie/00108c1f-642.jpg,0.2
g,France,Manuel Valls,PM (2014-16),Barcelona,Spain,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fcom.ft.imagepublish.prod.s3.amazonaws.com%2F72981880-d7fb-11e6-944b-e7eb37a6aa8e?fit=scale-down&source=next&width=700
s,France,Valéry d'Estaing,President (1974-81),Koblenz,French-Occupied Germany,https://upload.wikimedia.org/wikipedia/commons/0/0a/Val%C3%A9ry_Giscard_d%E2%80%99Estaing_1978.jpg
g,Lithuania,Aleksandras Abišala,PM (1992),Inta,Soviet Russia,https://s1.15min.lt/images/photos/2012/11/29/original/aabisala-mano-kad-vyriausybe-formuojancios-partijos-atejo-dirbti-sau-o-ne-rinkejams-50b78ff9addbc.jpg,0.7
s,Lithuania,August III Wettin⁷,Grand Duke (1734-63),Dresden,Electorate of Saxony (now Germany),https://upload.wikimedia.org/wikipedia/commons/b/b6/August_III_the_Saxon.PNG
g,Germany,Adolf Hitler¹¹,Chancellor (1933-45),Braunau am Inn,Austria,https://www.biography.com/.image/t_share/MTE4MDAzNDEwNTU1MDc4MTU4/adolf-hitler-9340144-1-402.jpg,0
s,Germany,Horst Köhler,President (2004-10),Heidenstein,Occupied Poland,https://www.dzbreaking.com/wp-content/uploads/2017/05/d9c3e3131f35587def7ca93a1b9376bd_M.jpg
