#,country,name,description,comment,image
1,UK,Donald Trump,tweeter,Scottish mother,https://foreignpolicymag.files.wordpress.com/2017/06/gettyimages-488226322.jpg
22,Germany,Albert Einstein,physicist,,https://vignette2.wikia.nocookie.net/epicrapbattlesofhistory/images/4/4d/Albert_Einstein_Based_On.png
55,Austria,Arnold Schwarzenegger,actor/politician,,https://timedotcom.files.wordpress.com/2017/02/arnold-apprentice.jpg
63,Italy,Frank Sinatra,singer,Italian parents,http://assets.nydailynews.com/polopoly_fs/1.2043031.1449871161!/img/httpImage/image.jpg_gen/derivatives/gallery_1200/frank-sinatra.jpg
83,Serbia,Nikola Tesla,inventor,born in Croatia,http://www.teslasociety.com/pictures/pic1.jpg
84,Poland,Bernie Sanders,politician,Polish father,https://www.dailywire.com/sites/default/files/styles/article_full/public/uploads/2017/11/gettyimages-687339814.jpg?itok=H2x3aigv
94,Denmark,Scarlett Johansson,actor,Danish father,https://www.biography.com/.image/t_share/MTE4MDAzNDEwNzkxODU5NzI2/scarlett-johansson-13671719-2-raw.jpg
107,Greece,Jennifer Aniston,actor,Greek father,
217,Ukraine,Mila Kunis,actor,,
227,Romania,Stan Lee,comic writer,Romanian parents,https://img.rasset.ie/000565d0-800.jpg
235,Slovakia,Andy Warhol,artist,Slovakian parents,https://masterpiece.s3.amazonaws.com/bio-ANDY-WARHOL-.jpg
369,Hungary,George Soros,investor,https://specials-images.forbesimg.com/imageserve/59d50e1f4bbe6f37dd9ff7dd/416x416.jpg?background=000000&cropX1=931&cropX2=2948&cropY1=485&cropY2=2501
665,Sweden,Charles Lindbergh,aviator,Swedish father,
679,Belgium,Jean-Claude Van Damme,actor,,
700,Russia,Ayn Rand,novelist,,
794,Slovenia,Melania Trump,first lady,,
873,Montenegro,Milla Jovovich,actor,Montenegrin father,
1064,Spain,Martin Sheen,actor,Spanish father,
1064,Ireland,Martin Sheen,actor,Irish mother
1100,Norway,Renée Zellweger,actor,Norwegian mother,
1111,Belarus,Kirk Douglas,actor,Belarusian parents, 
1622,Netherlands,Eddie Van Halen,musician,,
1707,France,Julia Louis-Dreyfus,actor,French father,
2375,Albania,John Belushi,comedian,Albanian parents,
2376,Czech Republic,Martina Navratilova,tennis player,,
2500,Turkey,Mehmet Oz,pseudoscientist,Turkish parents,
2701,Finland,Linus Torvalds,programmer,,
3650,Latvia,Mark Rothko,artist,,
4820,Estonia,Mena Suvari,actor,Estonian father
2095,Lithuania,Charles Bronson,actor,Lithuanian parents
5115,Portugal,Joe Perry,rock guitarist,Portuguese father
-787,Bosnia,Karl Malden,actor,Bosnian-Serb father
-782,Moldova,Jared Diamond,geographer,Moldovan father
-777,Croatia,Lou Saban,football player,Croatian parents,
-764,Azerbaijan,Zecharia Sitchin,pseudoscientist,,
-761,Georgia,George Balanchine,choreographer,Georgian father
-759,Macedonia,Mike Ilitch,entrepreneur,Macedonian parents
-750,Armenia,Shavo Odadjian,musician,,
-735,Iceland,Aron Jóhannsson,soccer player,,
-735,Kosovo,Tony Dovolani,ballroom dancer,,
-727,Luxembourg,Hugo Gernsback,sci-fi publisher,,
-723,Bulgaria,John Atanasoff,inventor,Bulgarian father
-703,Gibraltar,Albert Hammond Jr.,guitarist,Gibraltarian father,
-693,Cyprus,Costas Philippou,mixed martial artist,,
-685,Kazakhstan,Valeri Liukin,gymnast,,
-678,Malta,Joe Sacco,comics journalist,,
-620,Montenegro,Olgivanna Lloyd Wright,wife and collaborator,,
