country,name,description,flag
UK,God Save the King/Queen,national anthem (since 1745),https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1024px-Flag_of_the_United_Kingdom.svg.png
Sweden,Bevare Gud vår kung,royal anthem (1805-1893),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Swedish_civil_ensign_%281844%E2%80%931905%29.svg/1024px-Swedish_civil_ensign_%281844%E2%80%931905%29.svg.png
Malta,God Save the King/Queen,royal anthem (1813-1964),https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Malta_%281943%E2%80%931964%29.svg/1920px-Flag_of_Malta_%281943%E2%80%931964%29.svg.png
Russia,Molitva Russkikh,national anthem (1816-1833),https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/1024px-Flag_of_Russia.svg.png
Greece,"Ton basiléia mas sóson, Theé",national anthem (1832-1865),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Greece_%281822-1978%29.svg/1024px-Flag_of_Greece_%281822-1978%29.svg.png
Switzerland,"Rufst du, mein Vaterland",national anthem (c.1848-1961),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/1024px-Flag_of_Switzerland.svg.png
Liechtenstein,Oben am jungen Rhein,national anthem (since c.1870),https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/1024px-Flag_of_Liechtenstein.svg.png
Germany,Heil dir im Siegerkranz,national anthem (1871-1918),https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Germany_%281867%E2%80%931918%29.svg/1920px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png
Iceland,Eldgamla Ísafold,unofficial national anthem (19th century),https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Iceland_%281918%E2%80%931944%29.svg/1024px-Flag_of_Iceland_%281918%E2%80%931944%29.svg.png
Cyprus,God Save the King/Queen,royal anthem (1878-1960),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Flag_of_Cyprus_%281922%E2%80%931960%29.svg/1024px-Flag_of_Cyprus_%281922%E2%80%931960%29.svg.png
Norway,Kongesangen,royal anthem (since 1906),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/1024px-Flag_of_Norway.svg.png
