country,european,overall,description
Russia,3972400,17098242,west of Urals
France,551394,643801,Metropolitan
Spain,498468,505992,"−Canaries,\nCeuta, Melilla"
Kazakhstan,180000,2724902,west of Urals
Denmark,44493,2210579,−Greenland
Netherlands,41198,42508,−Caribbean
Turkey,23507,783562,west of Bosporus
Azerbaijan,6960,86600,north of Caucasus
Georgia,2428,69700,north of Caucasus
Cyprus,0,9251
Armenia,0,29743
Greece,129000,131957,"−Dodecanese,\nNorth Aegean"
Portugal,91568,92212,−Madeira
UK,242500,260670,-BOTs
European Union,1,1
