country,value,currency,year
Albania,10000,lek,2019
Austria,500000,kronen,1922
Bulgaria,50000,leva,1997
France,10000,francs,1954
Germany,100000000000000,marks,1924
Hungary,100000000000000000000,pengő,1946
Ireland,500,euros,2002
Italy,500000,lire,1997
Portugal,10000,escudos,1989
Romania,5000000,lei,1947
Russia,10000000,rubles,1921
Spain,10000,pesetas,1985
Switzerland,1000,francs,1907
UK,1000,pounds*,1725
Sweden,10000,kronor,1939
Norway,1000,kroner,1877
Finland,10000,markka,1955
Czech Republic,5000,korunas,1993
Slovakia,5000,korunas,1994
Kosovo,500,euros,2002
Greece,100000000000,drachma,1944
Turkey,20000000,lira,2001
Denmark,1000,kroner,1972
Iceland,10000,króna,2013
Ukraine,1000000,karbovanets,1995
Moldova,1000,lei,2003
Malta,500,euros,2008
Cyprus,500,euros,2008
Luxembourg,1000,francs,1940
Belgium,10000,francs,1927
Netherlands,1000,guilders,1814
Poland,10000000,marka,1922
Belarus,5000000,rubles,1999
Lithuania,1000,litų,1924
Latvia,500,lats,1922
Estonia,5000,marks,1922
Slovenia,10000,tolarjev,1995
Macedonia,10000,denari,1993
Croatia,100000,dinara,1993
Serbia,500000000000,dinar,1993
Montenegro,500,euros,2002
Bosnia,100000,dinar,1992
