country,borders,longest
Albania,4,Greece
Andorra,2,Spain
Austria,8,Germany
Belarus,5,Russia
Belgium,4,France
Bosnia,3,Croatia    
Bulgaria,5,Romania
Croatia,5,Bosnia
Cyprus,1,Akrotiri
Czech Republic,4,Germany
Denmark,1,Germany
Estonia,2,Latvia
Finland,3,Russia
France,11,Brazil
Germany,9,Czechia
Greece,4,Bulgaria
Hungary,7,Slovakia
Iceland,0
Ireland,1,UK
Italy,6,Switzerland
Kosovo,4,Serbia
Latvia,4,Lithuania
Liechtenstein,2,Switzerland
Lithuania,4,Belarus
Luxembourg,3,Belgium
Macedonia,5,Greece
Malta,0
Moldova,2,Ukraine
Monaco,1,France
Montenegro,5,Bosnia
Netherlands,2,Germany
Norway,3,Sweden
Poland,7,Czechia
Portugal,1,Spain
Romania,5,Bulgaria
Russia,14,Kazakhstan
San Marino,1,Italy
Serbia,8,Romania
Slovakia,5,Hungary
Slovenia,4,Croatia
Spain,5,Portugal
Sweden,2,Norway
Switzerland,5,Italy
Turkey,8,Syria
UK,1,Ireland
Ukraine,7,Russia
Vatican City,1,Italy
