country,capital,state,recognition,image,population
Kosovo,Pristina,de facto independent,recognised by 111 UN states; province in Serbia,https://www.heartmybackpack.com/wp-content/uploads/2015/07/IMG_1279.jpg,204 721
Abkhazia,Sukhumi,de facto independent,recognised by 4 UN states; republic in Georgia,https://northcaucasusland.files.wordpress.com/2014/02/sukhumi-abkhazia-georgia-black-sea-north-caucasus-2-sochi-olympics.jpg,62 914
South Ossetia,Tskhinvali,de facto independent,recognised by 4 UN states; part of Georgia,http://newletter.us/images/2017/07/18/normal_the_building_of_parliament_of_the_republic_of_south_ossetia_in_tskhinvali_archival_photo.jpg,30 000
Northern Cyprus,North Nicosia,de facto independent,recognised by 1 UN state; part of Cyprus,https://media-cdn.tripadvisor.com/media/photo-s/02/8b/66/b1/merit-lefkosa-hotel.jpg,82 539
Artsakh,Stepanakert,de facto independent,"unrecognised;
part of Azerbaijan",https://upload.wikimedia.org/wikipedia/commons/0/09/2014_Stepanakert%2C_Plac_Odrodzenia_%2802%29.jpg,55 200
Transnistria,Tiraspol,de facto independent,"unrecognised;
part of Moldova",https://www.rucksackramblings.com/wp-content/uploads/2016/11/Things-To-Do-In-Tiraspol-1.jpg,129 000
Donetsk People's Republic,Donetsk,Russian-backed proto-state,"unrecognised;
part of Ukraine",https://sites.google.com/site/donetsknationalmedicaluniv/_/rsrc/1361544929317/city-of-donetsk/Donetsk%20%281%29.jpg?height=284&width=400,929 063
Luhansk People's Republic,Luhansk,Russian-backed proto-state,"unrecognised;
part of Ukraine",https://cdn-images-1.medium.com/max/1024/1*Z1LUuZ6rFct_G6jch-Yh2A.jpeg,425 848
Catalonia,Barcelona,autonomous region in Spain,declaration of independence signed but suspended,https://cdn.regiondo.net/media/catalog/product/cache/3/image/600x400/42b8d1dfeee2741c48645781fb9ce36a/t/i/ticket-image-01393361672-cropped500-290_3/sagrada-familia-private-tour-independent-interior-visit-31e89.jpg,4 740 000
Republika Srpska,Banja Luka [de facto],entity in Bosnia-Herzegovnia,proposed referendum; de facto independent 1992-95,https://cdn.theculturetrip.com/images/56-3952954-1442331385eefc5327cdea4f219f83d78c92c7bc20.jpg,199 191
Scotland,Edinburgh,country in the UK,independence referendum voted down in 2014,https://www.visitscotland.com/cms-images/attractions/edinburgh-skyline-calton-hill,1 339 380 
Basque Country,Iruñea,regions in Spain and France,proposed consultation prevented in 2008,https://euskalerriairratia.tok-md.com/argazkiak/JLi/cache/Ayuntamiento-de-Pamplona_content.jpg,319 208
