language,letter,bigram,trigram
Albanian,e,të,sht
Basque,a,en,eta
Belarusian,а,на,ска
Breton,e,an,enn
Bulgarian,а,на,ата
Catalan,e,es,ent
Czech,o,st,pro
Danish,e,er,der
Dutch,e,en,van
English,e,th,the
Estonian,a,st,ast
Faroese,a,in,num
Finnish,a,en,ssa
French,e,es,ent
Galician,e,de,ent
German,e,er,der
Greek,α,το,του
Hungarian,e,sz,sze
Icelandic,a,ar,inn
Irish,a,ch,ach
Italian,e,on,del
Latin,e,er,est
Latvian,a,ie,ija
Lithuanian,i,in,ini
Luxembourgish,e,er,sch
Macedonian,а,на,ата
Maltese,a,ta,tal
Monégasque,a,in,ent
Norwegian,e,er,for
Polish,a,ie,nie
Portuguese,a,de,ent
Romanian,e,re,are
Russian,o,ст,ени
Serbo-Croatian,а,је,ста\nsta
Slovak,o,ov,tor
Slovene,e,je,pre
Spanish,e,de,ent
Swedish,e,en,och
Turkish,a,ar,lar
Ukrainian,о,на,ого
Welsh,a,dd,edd
