country,method,year
Albania,hanging,1995
Andorra,firing squad
Austria,hanging,1950
Belarus,single shot,2017
Belgium,guillotine,1863
Bosnia,firing squad,1975
Bulgaria,firing squad,1989
Croatia,firing squad,1987
Cyprus,hanging,1962
Czech Republic,hanging,1989
Denmark,beheading,1892
Estonia,single shot,1991
Finland,firing squad,1825
France,guillotine,1977
Germany,single shot,1981
Greece,firing squad,1972
Hungary,hanging,1988
Iceland,beheading,1830
Ireland,hanging,1954
Italy,firing squad,1947
Lithuania,single shot,1995
Luxembourg,hanging
Malta,hanging,1943
Netherlands,firing squad,1860
Norway,beheading,1876
Poland,hanging,1988
Portugal,hanging,1846
Romania,firing squad,1989
Russia,firing squad,1996
Serbia,firing squad,1992
Slovenia,hanging,1957
Spain,hanging,1975*
Sweden,guillotine,1910*
Switzerland,beheading,1940
Turkey,hanging,1984
UK,hanging,1964
Ukraine,,1997
