country,year,currency
Russia,1704,ruble
France,1795,franc
Switzerland,1798,franc
Netherlands,1817,guilder
Greece,1828,phoenix
Portugal,1837,real
Sweden,1855,riksdaler
Austria,1857,gulden
Hungary,1857,forint
Italy,1861,lira*
Spain,1868,peseta
Germany,1873,goldmark
Denmark,1873,krone
Norway,1875,krone
Cyprus,1955,pound
UK,1971,pound
Ireland,1971,pound
Malta,1972,lira
Turkey,1844,lira
Bulgaria,1844,(lira)
Bosnia,1844,(lira)
Romania,1844,(lira)
Serbia,1844,(lira)
Kosovo,1844,(lira)
Macedonia,1844,(lira)
Montenegro,1844,(lira)
Poland,1850,rubel
Belgium,1817,(guilder)
Czech Republic,1857,(gulden)
Slovakia,1857,(forint)
Finland,1840,(ruble)
Belarus,1795,(ruble)
Moldova,1812,(ruble)
Latvia,1795,(ruble)
Estonia,1710,(ruble)
Iceland,1874,(krone)
Faroe Islands,1874,(krone)
Algeria,1848,(franc)
Tunisia,1891,(franc)
Morocco,1912,(franc)
Slovenia,1857,(gulden)
Croatia,1857,(gulden)
Lithuania,1795,(ruble)
Albania,1844,(lira)
Ukraine,1795,(gulden)
Luxembourg,1815,(guilder)

