country,year1,index1,year2,index2,year3,index3,g7
Austria,2013,3.31,2017,3.73,2019,1.85
Belgium,2010,3.77,2014,4.60,2019,3.92
Bulgaria,2013,10.88,2014,2.52,2017,7.42
Canada,2008,10.09,2011,12.42,2015,12.01,y
Croatia,2011,12.31,2015,7.07,2016,5.92
Cyprus,2006,2.42,2011,1.69,2016,3.02
Czech Republic,2010,8.76,2013,6.12,2017,7.21
Denmark,2011,0.73,2015,0.79,2019,2.39
Estonia,2011,5.09,2015,2.34,2019,5.28
Finland,2011,2.95,2015,3.03,2019,3.55
France,2007,13.58,2012,17.66,2017,21.12,b
Germany,2009,3.40,2013,7.83,2017,1.95,b
Greece,2015 Jan,9.98,2015 Sep,9.69,2019,9.66
Hungary,2010,11.67,2014,17.80,2018,14.38
Ireland,2007,5.85,2011,8.69,2016,5.62
Italy,2008,5.73,2013,17.34,2018,5.70,b
Japan,2012,19.96,2014,16.32,2017,16.28,y
Latvia,2011,2.76,2014,2.30,2018,5.51
Lithuania,2004,5.03,2008,11.14,2012,9.08
Luxembourg,2009,4.22,2013,5.20,2018,5.57
Malta,2008,1.44,2013,1.75,2017,1.01
Netherlands,2010,0.81,2012,0.99,2017,0.96
Poland,2007,4.67,2011,5.95,2015,12.56
Portugal,2009,5.63,2011,5.68,2015,5.65
Romania,2008,3.32,2012,6.20,2017,2.69
Slovakia,2010,7.46,2012,9.77,2016,6.10
Slovenia,2011,3.64,2014,6.57,2018,4.56
Spain,2015,6.07,2016,5.37,2019 Apr,5.52
Sweden,2010,1.25,2014,2.64,2018,0.63
UK,2010,15.13,2015,15.02,2017,6.47,y
USA*,2014,4.35,2016,5.25,2018,1.29,y


