country,date,address
Albania,l,m
Austria,l,m
Belarus,l,m
Belgium,l,m
Bosnia,l,m
Bulgaria,l,m
Croatia,l,m
Cyprus,l,m
Czech Republic,l,m
Denmark,l,m
Estonia,l,m
Finland,l,m
France,l,l
Germany,l,m
Greece,l,m
Hungary,b,b
Iceland,l,m
Ireland,l,l
Italy,l,m
Kosovo,l,m
Latvia,lb,m
Lithuania,b,m
Luxembourg,l,m
Macedonia,l,m
Malta,l,l
Moldova,l,m
Montenegro,l,m
Netherlands,l,m
Norway,l,m
Poland,l,m
Portugal,l,m
Romania,l,m
Russia,l,m
Serbia,l,m
Slovakia,l,m
Slovenia,l,m
Spain,l,m
Sweden,b,m
Switzerland,l,m
Turkey,l,m
UK,l,l
Ukraine,l,m
Algeria,l,l
Morocco,l,l
Tunisia,l,l
US,m,l
