year,area,label
1950,1176377,"+France, Italy, West Germany, Netherlands, Belgium, Luxembourg"
1958,3646919,+Overseas France (including Algeria)
1962,1265178,−Algeria
1973,3787132,"+Denmark, UK, Ireland (including Greenland)"
1981,3919122,+Greece
1985,1753036,−Greenland
1986,2351118,"+Spain, Portugal"
1990,2459451,+East Germany
1995,3332041,"+Sweden,Finland,Austria"
2004,4050303,"+Poland, Hungary, Czechia, Lithuania, Latvia, Slovakia, Estonia, Cyprus, Malta"
2007,4399579,"+Romania,Bulgaria"
2013,4456173,+Croatia
2019,4213678,−UK(?)
