country,language,name,meaning
Germany,Navajo,Béésh Bich’ahii Bikéyah,("metal cap-wearer land")
France,Maōri,Wīwī,("oui-oui"="yes-yes")
Italy,Hungarian,Olaszország,("land of the Volcae")
Spain,Navajo,Dibé Diníí Bikéyah,("sheep pain country")
Portugal,Swahili,Ureno,("o reino"="the kingdom")
Poland,Persian,Lahestan,("land of the Lendians")
Russia,Finnish,Venäjä,("land of the Wends")
Austria,Arabic,an-namsā,("the German place")
Sweden,Finnish,Ruotsi,("land of rowing")
Greece,Hebrew,yavan,("Ionia")
Norway,Irish,an Iorua,("legendary Scandinavian kindgom")
Belarus,Lithuanian,Gudija,("???")
