country,whyisXso,whyisX,whyareXian,isXbetterthan
Albania,weird,muslim,parents so strict,Serbia
Austria,peaceful,not part of Germany,toilets different,Germany
Belarus,scary,called white Russia,,Ukraine
Belgium,flat,famous for chocolate,fries so good,France
Bosnia,,not in the EU,,
Bulgaria,unhappy,population decreasing,houses so cheap,Romania
Croatia,rocky,.hr,beaches rocky,Greece
Cyprus,English,divided,,Greece
Czech Republic,atheist,called Czechia
Denmark,good,happy,bathrooms so small,Sweden
Estonia,atheist,not Nordic,,Latvia
Finland,happy,not in NATO,drivers so good,Sweden
France,special,an hour ahead of UK,roads so smooth,UK
Germany,good at football,not on Google Maps,words so long,UK
Greece,corrupt,in debt,houses white,Turkey
Hungary,right wing,not Slavic,names backwards,Romania
Iceland,safe,ISL,women so beautiful,America
Ireland,green,split,names spelled weird,UK
Italy,corrupt,shaped like a boot,eggs so yellow,France
Kosovo,important to Serbs,muslim,,
Latvia,,important,jokes funny,Lithuania
Lithuania,suicidal,population decreasing,
Luxembourg,productive,independent,Brussels
Macedonia,important,called FYROM,,Greece
Malta,English,not part of Italy,dogs so expensive
Moldova,unhappy,not part of Romania
Montenegro,,not in the EU
Netherlands,flat,called Holland,houses so narrow,UK
Norway,happy,not in the EU,houses red,Sweden
Poland,right wing,not in the Euro,potatoes illegal in England,Germany
Portugal,windy,not part of Spain,names so long,Spain
Romania,religious,in the EU,gymnasts so good,Poland
Russia,corrupt,bad,athletes competing as neutral,America
Serbia,good at sports,not in the EU,,Croatia
Slovakia,,not in FIFA,
Slovenia,beautiful,green,,Slovakia
Spain,corrupt,an hour ahead of UK,names so long,Italy
Sweden,good,not in NATO,houses red,UK
Switzerland,successful,.ch,watches the best,Canada
Turkey,liberal,not in the EU,rugs so expensive,India
Ukraine,dangerous,important to Russia,brides so popular,Russia
UK,cloudy,weather so bad,summers so wet,US
