country,thing,image
Albania,byrek,https://www.missioneurovision.co.uk/wp-content/uploads/2015/12/albania-byrek-1300x866.jpg
Austria,blinds,https://www.windowdesigninteriors.co.nz/wordpress/wp-content/uploads/Austrian1.jpg
Belarus,kolduny,http://4.bp.blogspot.com/-VV35NY_xALA/UJsc0M-1vvI/AAAAAAABlhY/UJL6M-K2wHE/s1600/kolduny.jpg
Belgium,waffles,http://cdn-image.foodandwine.com/sites/default/files/styles/medium_2x/public/200805-r-xl-classic-belgian-waffles.jpg
Bosnia,coffee,https://www.balkanlunchbox.com/wp-content/uploads/2014/08/main-bosnian-coffee-kafa-kahva-kava1.jpg
Bulgaria,banitsa,https://tarasmulticulturaltable.com/wp-content/uploads/2013/12/banitsa-8-of-9.jpg
Croatia,coffee,http://easycroatian.com/wp-content/uploads/2014/09/munsun.jpg
Cyprus,coffee,http://www.afroditeskitchen.com/wp-content/uploads/2013/12/christmascoffee-8618.jpg
Czech Republic,dumplings,http://www.littlebitofczech.com/wp-content/uploads/2014/04/GetAttachment.aspx_62.jpeg
Denmark,pastry,https://d2gk7xgygi98cy.cloudfront.net/4783-3-large.jpg
Estonia,black bread,https://www.everettpotter.com/wp-content/uploads/2015/01/IMG_6001.jpg
Finland,salmon soup,http://tastykitchen.com/recipes/wp-content/uploads/sites/2/2016/07/Finnish-Salmon-Soup-Lohikeitto-by-Cooking-The-Globe-410x273.jpg
France,toast,https://captainsmanorinn.com/wp-content/uploads/2015/05/frenchtoast4.jpg
Germany,pretzels,"https://fthmb.tqn.com/wuFIMYH1qRyQCBs4Rb7S6bxcsfU=/960x0/filters:no_upscale()/GettyImages-170148804-594c4bea5f9b58f0fca48ed6.jpg"
Greece,salad,https://images.media-allrecipes.com/userphotos/560x315/827520.jpg
Hungary,goulash,http://www.mnhsz.com/storage/upload/2016/gulyas1.jpg
Iceland,hot dogs,https://blog.arousingappetites.com/wp-content/uploads/2015/07/Icelandic-hotdogs-ft-image-w-graphic.jpg
Ireland,coffee,https://www.tastyeverafter.com/wp-content/uploads/2015/03/Irishcoffee-1.jpg
Italy,meringue,https://www.chelsea.co.nz/files/cache/ec0ddc1f3860e41d81ae48240d02f276_f1582.jpg
Kosovo,pite,https://data.whicdn.com/images/84637774/large.jpg
Latvia,grey peas,https://i.pinimg.com/originals/41/79/17/417917ff77351ee7ce865a9f6acc1835.jpg
Lithuania,cepelinai,https://fthmb.tqn.com/-g5A8H_LRMie2vySEVwMUlfhywo=/960x0/filters:no_upscale()/cepelinai-258877532_a824eee0ba_o-5913e66d5f9b58647000e2bf.jpg
Luxembourg,-erli,https://www.spruengli.ch/cms/fileadmin/user_upload/inspiration/luxemburgerli/1_Luxemburgerli-Milchschokolade.jpg
Macedonia,burek,https://img.buzzfeed.com/buzzfeed-static/static/2014-02/enhanced/webdr06/26/20/enhanced-20610-1393465801-3.jpg?downsize=715:*&output-format=auto&output-quality=auto
Malta,pastizzi,http://www.amaltesemouthful.com/wp-content/uploads/2015/08/DSC_0199.jpg
Moldova,placinta,http://goadventure.md/wp-content/uploads/2017/05/0411_Placinta-on-Fire-1920x1440.jpg
Montenegro
Netherlands,pancakes,https://www.iamsterdam.com/media/locations-ndtrc/restaurants/bakers-roasters-amsterdam.jpg
Norway,pancakes,http://howtofeedaloon.com/wp-content/uploads/2014/11/norwegion-feature1.jpg
Poland,dumplings,http://www.jennycancook.com/recipe_images/polish_pierogi_300x200.jpg
Portugal,tarts,http://foodlife.com.au/wp-content/uploads/2016/06/Portuguese_tarts.jpg
Romania,tuica,https://mgcraciun.files.wordpress.com/2014/03/cazan_tuica_30litri.jpg
Russia,salad,https://www.ndtv.com/cooks/images/russian-salad-620.jpg
Serbia,pasulj,https://oblizniprste.si/wp-content/uploads/2016/12/pasulj-s-prekajenim-mesom-11-2.jpg
Slovakia,haluski,https://slaviccooking.com/wp-content/uploads/2013/11/Halusky_1200x630_WM-FB-G_01.jpg
Slovenia,sausage,https://cdn.shopify.com/s/files/1/0668/2207/products/SausageSeasoning_Secondary_SmokeSausage12_large.png?v=1520006249
Spain,tortilla,https://cafedelites.com/wp-content/uploads/2017/08/Spanish-Tortilla-53.jpg
Sweden,meatballs,http://blog.ingredientmatcher.com/wp-content/uploads/2014/06/SwedishMeatballs.jpg
Switzerland,roll,https://cdn.shopify.com/s/files/1/0377/5345/products/Chocolate_Swiss_Roll_1_1024x1024.JPG
Turkey,delight,https://res.cloudinary.com/uktv/image/upload/v1435673180/zzlcgrkn2qep9nlwf4jy.jpg
UK,pancakes,https://i.pinimg.com/originals/44/49/93/4449935b94ab4b44f8893fb17451b6e8.jpg
Ukraine,kutia,https://i.pinimg.com/originals/ff/af/94/ffaf94c375780eeed2fa2c66a84fb751.jpg
