country,link,score,description,image
Germany,Johann Sebastian Bach,0.8471385895427285,composer,https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg
United Kingdom,J. R. R. Tolkien,0.8299072021891128,writer,http://www.nndb.com/people/511/000022445/jrrtolkien.jpg
Italy,Giovanni Boccaccio,0.7097967769039701,writer,http://s4.thingpic.com/images/fZ/G7cDBq993TLM7EtgTGgeaBLJ.jpeg
Austria,Johann Strauss Jr.,0.7509664149771158,composer,https://i.ytimg.com/vi/MZi5AIjw7wo/maxresdefault.jpg
France,Jeanne d'Arc,0.8646603893254301,military hero,https://upload.wikimedia.org/wikipedia/commons/c/c3/Joan_of_Arc_miniature_graded.jpg
Russia,Ivan the Terrible,0.7956973920090966,tsar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Ivan_the_Terrible_%28cropped%29.JPG/240px-Ivan_the_Terrible_%28cropped%29.JPG
Poland,Janusz Korczak¹,0.6795928637118255,educator,https://images-na.ssl-images-amazon.com/images/M/MV5BNTdhZDVmMDMtZTA1Ni00M2FhLWIxNTctZjQ0MGNmZDA3N2RmXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_.jpg
Spain,Joan Miró,0.7543111239308692,artist,http://everypainterpaintshimself.com/article_images_new/Mir%C3%B3.S-P.1919.Face.jpg
Czech Republic,Jan Hus,0.7243740467780696,priest,https://upload.wikimedia.org/wikipedia/commons/e/e9/Jan_Hus_2.jpg
Switzerland,Jean-Jacques Rousseau,0.8496277119089132,philosopher,http://www.iep.utm.edu/wp-content/media/rousseau.jpg
Netherlands,Johannes Vermeer,0.7734396351422114,painter,https://www.wannart.com/wp-content/uploads/2017/09/vermeer1.jpg
Ireland,John Field,0.5759495395606434,composer,https://maryostudio.files.wordpress.com/2016/01/john-field.jpg
Ukraine,Ivan Mazepa,0.6152156888935718,Cossack noble,https://upload.wikimedia.org/wikipedia/commons/e/e2/Portret_Mazepa.jpg
Denmark,Hans Christian Andersen,0.8059436812540033,author,https://vignette.wikia.nocookie.net/disney/images/e/e2/Hans_Christain_Anderson.jpg/revision/latest/scale-to-width-down/350?cb=20120604175737
Portugal,João I,0.6189888970680217,king,https://upload.wikimedia.org/wikipedia/commons/5/54/Anoniem_-_Koning_Johan_I_van_Portugal_%281450-1500%29_-_Lissabon_Museu_Nacional_de_Arte_Antiga_19-10-2010_16-12-61.jpg
Belgium,Jan van Eyck,0.710813547993047,painter,https://upload.wikimedia.org/wikipedia/commons/8/8b/Portrait_of_a_Man_by_Jan_van_Eyck-small.jpg
Sweden,Jöns Jacob Berzelius,0.6605794184829948,chemist,https://todayinsci.com/B/Berzelius_Jons/BerzeliusJons300px.jpg
Norway,Johan Halvorsen,0.4718285764814961,composer,https://orig00.deviantart.net/4f7b/f/2011/020/c/0/johan_halvorsen_by_kartoffelmos-d37mv1n.png
