type,date,description
nM,2019 Jan 11,Republic of Macedonia renamed North Macedonia
j,2018 May 16,Crimean Bridge opened between Russia and Crimea
nL,2017 Feb 20,Nagorno-Karabakh renamed Artsakh
c,2016 Jul 14,"Kirovohrad, Ukraine renamed Kropyvnytskyi"
nL,2016 Jul 05,Czech Republic adopts Czechia as its official short form
c,2016 May 19,"Dnipropetrovsk, Ukraine renamed Dnipro"
bL,2014 Apr 27,Luhansk People's Republic declares independence from Ukraine
bL,2014 Apr 07,Donetsk People's Republic declares independence from Ukraine
bL,2014 Mar 18,Crimea annexed by Russia
bL,2008 Aug 26,South Ossetia and Abkhazia recognised by Russia
bL,2008 Feb 17,Kosovo declares independence from Serbia
bM,2006 Jun 03,Dissolution of Serbia and Montenegro into Serbia and Montenegro
j,2004 Aug 12,Rio–Antirrio bridge opens in Greece
nM,2003 Feb 04,FR Yugoslavia renamed Serbia and Montenegro
j,2000 Jul 01,Øresund Bridge opens between Sweden and Denmark
c,1999 Jun 11,"Novgorod, Russia renamed Veliky Novgorod"
bL,1999 Jun 10,UN administration in Kosovo
c,1999 Mar 11,"Aktyubinsk, Kazakhstan renamed Aktobe"
j,1998 Jun 14,Great Belt Fixed Link opens in Denmark
j,1998 Mar 29,Vasco da Gama Bridge opens in Portugal
j,1996 Jun 05,Second Severn Crossing opens in the UK
b,1995 Dec 14,Republika Srpska incorporated into Bosnia and Herzegovnia
bM,1993 Jan 01,Dissolution of Czechoslovakia into Czech Republic and Slovakia
bL,1992 Apr 07,Republika Srpska declares independence from Bosnia and Herzegovnia
bM,1992 Apr 06,Bosnia and Herzegovnia internationally recognised
c,1992 Apr 02,"Titograd, Yugoslavia renamed Podgorica"
bL,1992 Mar 03,Bosnia and Herzegovnia declares independence from Yugoslavia
bM,1992 Jan 15,Slovenia and Croatia internationally recognised
bM,1991 Dec 26,Dissolution of USSR into constituent republics
c,1991 Sep 23,"Zagorsk, Russia renamed Sergiyev Posad"
bL,1991 Sep 21,Armenia declares independence from USSR
bM,1991 Sep 17,"Lithuania, Latvia and Estonia internationally recognised"
bL,1991 Sep 08,Macedonia declares independence from Yugoslavia
cM,1991 Sep 06,"Leningrad, Russia renamed Saint Petersburg"
c,1991 Sep 04,"Sverdlovsk, Russia renamed Yekaterinburg"
bL,1991 Sep 02,Nagorno-Karabakh declares independence from Azerbaijan
bL,1991 Aug 30,Azerbaijan delcares independence from USSR
bL,1991 Aug 20,Estonia declares independence from USSR
bL,1991 Jun 25,Slovenia and Croatia declare independence from Yugoslavia
bL,1991 Apr 09,Georgia declares independence from USSR
c,1991 Jan 25,"Kuybyshev, Russia renamed Samara"
bL,1990 May 04,Latvia declares independence from USSR
bL,1990 Mar 11,Lithuania declares independence from USSR
c,1990 Oct 22,"Gorky, Russia renamed Nizhny Novgorod"
bM,1990 Oct 03,Reunification of Germany
c,1990 Jul 20,"Ordzhonikidze, Russia renamed Vladikavkaz"
c,1990 Jul 17,"Kalinin, Russia renamed Tver"
c,1990 Jun 01,"Karl-Marx-Stadt, East Germany renamed Chemnitz"
c,1990 May 04,Voroshilovgrad renamed Lugansk
w,1990 Feb 12,"Atatürk Dam reservoir, Turkey completely filled"
c,1989 Mar 01,"Andropov, Russia renamed Rybinsk"
c,1989 Jan 13,"Zhdanov, Ukraine renamed Mariupol"
c,1988 Jan 06,"Brezhnev, Russia renamed Naberezhnye Chelny"
w,1987 Oct,Danube–Black Sea Canal's northern arm opens in Romania
c,1987 Jun 19,"Ustinov, Russia renamed Izhevsk"
c,1984 Dec 27,"Izhevsk, Russia renamed Ustinov"
w,1984 May,Danube–Black Sea Canal' southern arm opens in Romania
c,1984 Mar 15,"Rybinsk, Russia renamed Andropov"
bL,1983 Nov 15,Turkish Republic of Northern Cyprus declares independence from Cyprus
c,1982 Nov 18,Naberezhnye Chelny renamed Brezhnev
w,1982,"Cheboksary Reservoir, Russia completely filled"
c,1980 Feb,"Ploče, Yugoslavia renamed Kardeljevo"
n,1976 Dec 28,People's Republic of Albania renamed People's Socialist Republic of Albania
n,1974 Dec 13,State of Malta renamed Republic of Malta
bL,1974 Aug 18,Northern Cyprus occupied by Turkey
n,1973 Jun 01,Kingdom of Greece renamed Hellenic Republic
bM,1973,East Germany recognised internationally
j,1972 Sep 30,Öland Bridge opens in Sweden
c,1970 Jan 05,"Lugansk, Ukraine renamed Voroshilovgrad"
cO,1969 Sep 01,"Benghazi, Libya no longer joint capital"
