rank,country,name,dates,image
2,Greece,Alexander the Great
3,France,Napoleon Bonaparte
6,United Kingdom,Horatio Nelson
7,Italy,Julius Caesar
10,Sweden,Gustavus Adolphus
12,Germany,Frederick the Great
15,Czech Republic,Jan Žižka
19,Russia,Alexander Suvorov
20,Ireland,Duke of Wellington*
25,Austria,Eugene of Savoy
30,Michiel de Ruyter,Netherlands,
32,Spain,Gonzalo Fernández de Córdoba
34,Turkey,Selim I
44,Lithuania|Poland,John III Sobieski
51,Romania|Moldavia,Stephen the Great
59,Albania,Skanderbeg
68,Bulgaria,Simeon the Great
75,Armenia,Narses
81,Belgium,Charles Martel
89,Denmark|Norway,Niels Juel
116,Finland,Carl Gustav Emil Mannerheim
120,Hungary,Janos Hunyadi
121,Portugal,Affonso de Albuquerque
176,Ukraine,Alexander Nevsky*
