name,description,image_url
Michael of Chernigov,Grand Prince of Kievan Rus' (1236-40),http://www.pravoslavie.ru/sas/image/102484/248405.p.jpg
Stephen Tomašević,King of Bosnia (1461-63),https://upload.wikimedia.org/wikipedia/commons/d/dd/Stjepan_Toma%C5%A1evi%C4%87_cropped.jpg
Stanisław August Poniatowski,"King of Poland, Grand Duke of Lithuania (1764-95)",https://upload.wikimedia.org/wikipedia/commons/2/22/Stanis%C5%82aw_August_Poniatowski_by_Johann_Baptist_Lampi.PNG
Louis Philippe I,King of the French (1830-48),https://i.pinimg.com/originals/10/a1/ee/10a1ee99b00d828f6c05dfc42c7fa5d1.jpg
Scarlat Callimachi,Prince of Moldavia (1812-19),http://www.moldovenii.md/resources/files/images/domnitori/scarlat_callimachi_2.jpg
Napoleon III,Emperor of the French (1852-70),https://i.pinimg.com/736x/5c/18/5a/5c185a7d93bc50a0dab6ed9b2dde65fd--napoleon-novel.jpg
Manuel II,King of Portugal (1908-10),http://2.bp.blogspot.com/-LLJYit4_Hy8/ToxIb_CnTzI/AAAAAAAAASo/Hy69kEb5GHg/s1600/exil.jpg
Nicholas II,"Emperor of Russia, Grand Duke of Finland (1894-1917)",http://spartacus-educational.com/00tsar1.jpg
Mindaugas II,King-elect of Lithuania (1918),https://vignette1.wikia.nocookie.net/althistory/images/e/e6/Mindaugas_II.jpg
Wilhelm II,German Emperor (1888-1918),http://i.telegraph.co.uk/multimedia/archive/02994/KAISER-WILHELM_2994889b.jpg
Charles I,"Emperor of Austria, King of Bohemia and Croatia-Slavonia (1916-18)",https://i.pinimg.com/originals/52/51/94/5251944344f31f9c0e6875b09c7d3f35.jpg
Nikola I,King of Montenegro (1860-1918),http://www.znanje.org/i/i25/05iv01/05iv0128/nikola%201.jpg
Peter I,King of Serbia (1903-1918),https://vignette3.wikia.nocookie.net/althistory/images/2/2b/Peter_I.jpg
Mehmed VI,Ottoman Sultan (1918-22),http://www.turkeyswar.com/whoswho/images/MehmedVI.jpg
Edward VIII,King of Irish Free State (1936),https://i.pinimg.com/originals/ca/95/2b/ca952b20132cfb8ee4b0ac38c3b55ad7.jpg
Zog I,King of the Albanians (1928-39),http://www.historyfiles.co.uk/images/Europe/Balkans/Albania_KingZog_full.jpg
Christian X,King of Iceland (1918-44),https://i.pinimg.com/736x/be/76/f6/be76f65126090162cd2c988c8bb4037e--number-the-stars-star-of-david.jpg
Miklós Horthy,Regent of Hungary (1920-44),https://www.welt.de/img/bildergalerien/mobile106416416/9802504467-ci102l-w1024/Mikos-Horthy.jpg
Peter II,King of Yugoslavia (1934-45),https://i.pinimg.com/736x/75/60/aa/7560aa6bea2f13cd4598829fe74b93f3.jpg
Umberto II,King of Italy (1946),https://i.pinimg.com/originals/d9/df/b8/d9dfb81ed00d1ab3d800923c7b0dd25a.jpg
Simeon II,Tsar of Bulgaria (1943-46),https://i.pinimg.com/236x/e2/76/85/e276852336b831b8a62fe147e6295475--gotha-royal-families.jpg
Michael I,King of Romania (1927-30/40-47),https://i.imgur.com/Vdg9rPF.jpg
Constantine II,King of Greece (1964-73),http://68.media.tumblr.com/65173e236119d2edc1beaf239fdd992f/tumblr_mzlopckDbj1qcfftgo6_400.jpg
Elizabeth II,Queen of Malta (1964-74),https://i.pinimg.com/736x/dd/55/7c/dd557c1be6677bbb0eb4d0c8bc917030--royal-jewels-crown-jewels.jpg
