country,group
Albania,IWD
Algeria,LSM
Andorra,
Armenia,other
Austria,SSM
Azerbaijan,IWD
Belarus,other
Belgium,SSM
Bosnia,IWD
Bulgaria,IWD
Croatia,SSM
Cyprus,SSM
Czech Republic,SSM
Denmark,SSM
Estonia,SSM
Faroe Islands,SSM
Finland,SSM
France,LSM
Georgia,other
Germany,SSM
Gibraltar,FSL
Greece,SSM
Guernsey,FSL
Hungary,FSM
Iceland,SSM
Iran,other
Iraq,SE
Ireland,FSL
Israel,other
Italy,SSM
Jersey,FSL
Jordan,SE
Kazakhstan,IWD
Kosovo,IWD
Latvia,SSM
Lebanon,SE
Liechtenstein,SSM
Lithuania,FSM
Luxembourg,other
Macedonia,IWD
Malta,SSM
Moldova,IWD
Monaco,
Montenegro,IWD
Morocco,LSM
Netherlands,SSM
Norway,other
Palestine,SE
Poland,other
Portugal,FSM
Romania,IWD
Russia,IWD
San Marino,
Saudi Arabia,SE
Serbia,other
Slovakia,SSM
Slovenia,other
Spain,FSM
Sweden,LSM
Switzerland,SSM
Syria,SE
Tunisia,LSM
Turkey,SSM
UK,FSL
Ukraine,SSM
Vatican City,

