country,thing,image
UK,Sweeney Todd,"https://assets.playbill.com/editorial/_embeddedGallerySize/42005434f99950b16a2f7bfd9895c48f-sweeney-todd-broadway-production-photos-1979-02-hr.jpg"
Germany,Cabaret,"https://assets.playbill.com/editorial/_embeddedGallerySize/71965fff7ff0941e94bf18aea31b6d50-grey_1405015520_1405021285.jpg"
Russia,"Natasha, Pierre & the Great Comet of 1812","https://static01.nyt.com/images/2016/11/15/arts/15NATASHA/15NATASHA-superJumbo.jpg"
Sweden,"A Little Night Music","https://images.nypl.org/index.php?id=swope_624644&t=w"
France,"Sunday in the Park with George","https://static01.nyt.com/images/2021/08/01/arts/01LAPINE5/01LAPINE1-03-videoSixteenByNineJumbo1600.jpg"
Italy,"Passion","https://everythingsondheim.org/wp-content/uploads/2018/04/Donna-Murphy-in-Passion.-Photo-by-Joan-Marcus.jpg"
Austria,"The Sound of Music",
Monaco,"Lucky Stiff",
Spain,"Bernarda Alba",
Portugal,"Candide",
Hungary,"She Loves Me",
Ireland,"A Man of No Importance",
Greece,"Zorba!",
Romania,"Young Frankenstein",
Ukraine,"Fiddler on the Roof",
Poland,"Yentl!"
