country,name,image
Albania,qofte të fërguara,https://i.pinimg.com/474x/c0/1a/9f/c01a9f2e1319da910cf58466a3e26def--albanian-recipes-different-recipes.jpg
Austria,Wiener Schnitzel,http://www.absolutelyaustria.com/uploads/8/0/6/1/8061870/1814633.jpg
Belarus,draniki,https://www.medibank.com.au/livebetter/app/uploads/potato-pancakes-1-1140x642.jpg
Belgium,moules-frites,http://cdn-s-www.estrepublicain.fr/images/812cb14f-68c1-41f2-a927-578c753fcbbc/BES_06/illustration-soiree-moules-frites_1-1511952718.jpg
Bosnia,Bosnian pot,https://www.justyumyum.com/wp-content/uploads/bosanski_lonac-recipe-rich-meat-stew-bosnia.jpg
Bulgaria,Shopska salad,https://cdn.deliciousmeetshealthy.com/wp-content/uploads/2015/05/shopska-salad-3.jpg
Croatia,jota,https://croatiareviews.com/media/reviews/photos/original/43/4e/5f/633-istarska-jota-78-1439024723.jpg
Cyprus,souvla,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Souvla.jpg/1200px-Souvla.jpg
Czech Republic,vepřo knedlo zelo,https://c1.staticflickr.com/1/191/493894787_b8d51defaa_b.jpg
Denmark,stegt flæsk,https://sundbyboldklub.com/wp-content/uploads/2017/06/sf3.jpg
Estonia,verivorst,https://veganglobegobblers.files.wordpress.com/2014/12/img_1533.jpg
Finland,Karelian pasties,http://i0.wp.com/www.ninaaikas.com/wp-content/uploads/2015/11/karelianpasties.jpg
France,crêpes,https://i.pinimg.com/736x/88/33/c8/8833c8c9b9658e743a7467612907b3df--chocolate-crepes-delicious-chocolate.jpg
Germany,Bratwurst,http://food.fnr.sndimg.com/content/dam/images/food/fullset/2011/11/4/1/CCMPT231_Bratwurst-Stewed-with-Sauerkraut_s4x3.jpg.rend.hgtvcom.616.462.suffix/1382540721963.jpeg
Greece,moussaka,https://d1c8xu194km6ge.cloudfront.net/assets/246436/moussaka2_HD1280.jpg
Hungary,goulash,http://www.mnhsz.com/storage/upload/2016/gulyas1.jpg
Iceland,hákarl,https://ianspagnolo.files.wordpress.com/2014/01/hc3a1karl.jpg
Ireland,Irish stew,http://goodtoknow.media.ipcdigital.co.uk/111/000015c63/1bdf_orh412w625/Irish-stew-recipe.jpg
Italy,pasta,https://www.chowstatic.com/assets/recipe_photos/28987_bucatini.jpg
Kosovo,flija,https://upload.wikimedia.org/wikipedia/commons/d/d6/Flija.png
Latvia,pelēkie zirņi,https://altexperiencenglish.files.wordpress.com/2016/05/pelekie-zirni.jpg
Lithuania,cepelinai,https://fthmb.tqn.com/-g5A8H_LRMie2vySEVwMUlfhywo=/960x0/filters:no_upscale()/cepelinai-258877532_a824eee0ba_o-5913e66d5f9b58647000e2bf.jpg
Luxembourg,Judd mat Gaardebounen,http://chaoticcompendiums.com/wp-content/uploads/2013/01/Judd-mat-Gaardebounen.jpg
Macedonia,tavče gravče,http://pulses.org/images/com_yoorecipe/wgpd/cropped-Macedonia-2070.jpg
Malta,stuffat tal-fenek,https://www.sbs.com.au/food/sites/sbs.com.au.food/files/styles/full/public/images/site_21_rand_1844075924_Stuffat-Tal-Fenek-%28Rabbit-S.jpg
Moldova,mămăligă,https://curtandsusan.files.wordpress.com/2011/06/71.jpg
Montenegro,raštan,https://www.globtourmontenegro.com/inc/img/explore/rastan-prepared-on-smoked-joint-montenegro.jpg
Netherlands,stamppot,http://www.yourlittleblackbook.me/wp-content/uploads/2015/10/stamppot-pinterest2.jpg
Norway,fårikål,https://img.gfx.no/1492/1492095/original.480x196.jpg
Poland,bigos,http://recipes.jardencs.com/Media/1/ec62f954-7681-49b2-927e-28abd0486821.jpg
Portugal,bacalhau,http://portuguesediner.com/tiamaria/wp-content/uploads/2010/12/DSC01881.jpg
Romania,sarmale,http://blog.ingredientmatcher.com/wp-content/uploads/2015/11/Romania-Sarmale.jpg
Russia,pelmeni,"https://fthmb.tqn.com/fgiaHmAamRom7DjiPxT-Kwp_VmA=/2006x1494/filters:no_upscale()/Russiandumplings-pelmeni-GettyImages-673452064-596ed4f5845b340011a7b799.jpg"
Serbia,pljeskavica,http://cookingtheglobe.com/wp-content/uploads/2016/04/pljeskavica-serbian-burger-recipe.jpg
Slovakia,bryndzové halušky,http://recepty-varenie.eu/wp-content/uploads/2015/01/bryndzove-halusky-icon.jpg
Slovenia,ajdovi žganci,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Ajdovi_zganci.JPG/1200px-Ajdovi_zganci.JPG
Spain,tortilla española,https://cafedelites.com/wp-content/uploads/2017/08/Spanish-Tortilla-53.jpg
Sweden,Swedish meatballs,http://blog.ingredientmatcher.com/wp-content/uploads/2014/06/SwedishMeatballs.jpg
Switzerland,fondue,https://static01.nyt.com/images/2017/01/24/dining/fondue/fondue-articleLarge-v2.jpg
Turkey,döner,http://www.dfordelhi.in/wp-content/uploads/2017/06/doner-e1498208699963.jpg
Ukraine,borscht,http://www.seriouseats.com/recipes/images/2017/01/20161212-borscht-vicky-wasik-13-1500x1125.jpg
UK,fish & chips,http://howtofeedaloon.com/wp-content/uploads/2014/04/fish_chips_feature.jpg
