country,name,meaning
Albania,Dziłigaii bikéyah,white mountain land
Cyprus,Béésh Łichíiʼii bikéyah,red metal land
Finland,Nahoditsʼǫʼłání,many swamps
France,Dáághahii Dineʼé bikéyah,moustache people land
Germany,Béésh Bichʼahii bikéyah,iron hat people land
Iceland,Tin Kéyah,ice land
Ireland,Bitsiighaʼ Łichííʼí bikéyah,red mane people land
Italy,Doohatsʼíí Yátiʼ Dineʼé Bikéyah,not-speak-clearly people land
Montenegro,Dziłizhin bikéyah,black mountain land
Norway,Kinghą́ą́ʼ Haltsooí Dineʼé Bikéyah,yellow-??? people land
Netherlands,Kéyah Wóyahgo Siʼánígíí,low-lying land
Russia,Biʼééʼ Łichííʼí bikéyah,red shirt people land
Spain,Dibé diníí bikéyah,sheep pain land
Sweden,Chʼah Bideeʼí Dineʼé Bikéyah,horned hat wearer land
UK,Tótaʼ Dineʼé Bikéyah,between-the-water people land

Andorra,Andówa
Austria,Óóswiya
Belgium,Bélgii bikéyah
Bosnia,Bosna dóó Hetsog bikéyah
Bulgaria,Bálgaa bikéyah
Croatia,Kwóóʼad bikéyah
Czech Republic,Chek bikéyah
Denmark,Déinish Dineʼé bikéyah
Estonia,Ééstii bikéyah
Greece,Gwíík Dineʼé bikéyah
Hungary,Hángewii
Latvia,Létbiiya
Liechtenstein,Łííhtensain
Lithuania,Łitʼoowę́ęya
Luxembourg,Látsębooʼ
Macedonia,Masedóonya
Poland,Póolish Dineʼé bikéyah
Portugal,Boojigol
Romania,Wooméiniya
Serbia,Séwib bikéyah
Slovakia,Słóbaʼ bikéyah
Slovenia,Słobíín bikéyah
Switzerland,Swis bikéyah
Turkey,Tʼóok bikéyah
Ukraine,Yóókwein
