country,total
Austria,55000
Belgium,70000
Bulgaria,2600
Croatia,567
Cyprus,2859
Czech Republic,39269
Denmark,20000
Estonia,2193
Finland,5000
France,1050000
Germany,2000000
Greece,50000
Hungary,20000
Ireland,122585
Italy,100000
Latvia,60416
Lithuania,235000
Luxembourg,3000
Netherlands,60000
Portugal,3000
Romania,10000
Slovakia,3084
Slovenia,200
Spain,45000
Sweden,100000
UK,853000
Belarus,396000
Moldova,10000
Russia,95000
Ukraine,144100
Norway,70103
Switzerland,29602
Bosnia,350
Macedonia,162
Serbia,1200
Turkey,1000
Israel,4000
Armenia,1200
Azerbaijan,1200
Georgia,6000
Kazakhstan,100000
Egypt,600
Morocco,500
Tunisia,500
Iran,100
Iraq,100
Algeria,250
Lebanon,700
Syria,600
Iceland,7000
Monaco,100
Jordan,250
Saudi Arabia,100



