rank,domain,country,description,logo
26,vk.com*,Russia,social networking site,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/VK.com-logo.svg/1024px-VK.com-logo.svg.png
29,w3.org,EU|USA,web standards organization,http://www.paymentscardsandmobile.com/wp-content/uploads/2015/01/W3C.jpg
32,europa.eu,EU,European Union web portal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/1024px-Flag_of_Europe.svg.png
34,statcounter.com,Ireland,web traffic analysis tool,https://pbs.twimg.com/profile_images/918457632716984320/fgVEAVi1_400x400.jpg
35,gov.uk,UK,public sector information,https://assets.publishing.service.gov.uk/static/opengraph-image-a1f7d89ffd0782738b1aeb0da37842d8bd0addbd724b8e58c3edbc7287cc11de.png
36,bbc.co.uk*,UK,public service broadcaster,http://kandl-genres.files.bbci.co.uk/kandl-genres/1219-1/images/meta-images/bbc_blocks.png
39,yandex.ru,Russia,search engine,https://seeklogo.com/images/Y/yandex-logo-455789E4CF-seeklogo.com.gif
42,soundcloud.com,Germany,audio distribution platform,https://media.sandiegoreader.com/img/photos/2016/08/29/SoundCloud-Logo.jpg
43,123-reg.co.uk,UK,domain registrar and web hosting,http://microbizmattersday.rocks/wp-content/uploads/2015/10/NEW-123-reg-logo-blue-reg-sq.png
47,jimdo.com,Germany,web hosting,https://www.i-press.jp/cms/wp-content/uploads/Jimdo_Logo-1-300x88.jpg
48,theguardian.com*,UK,newspaper,http://fontslogo.com/wp-content/uploads/2013/03/The-Guardian-Logo-Font.jpg
62,issuu.com,Denmark,electronic publishing,http://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/072015/issuu-logo-stacked-colour_0.png
64,imdb.com,UK|USA,movie database
65,ascii.co.uk,UK,ASCII art host
68,Parallels.com,Russia|US,virtualisation software
78,E-recht24.de,Germany,internet law portal
90,Free.fr,France,telecom company
91,Telegraph.co.uk,UK,newspaper
96,Livejournal.com,US|Russia,social networking site
97,Mail.ru,Russia,internet portal
99,Reuters.com,UK,news agency
102,Dailymail.co.uk,UK,tabloid
118,Xing.com,Germany,professional networking site
119,Opera.com,Norway,web browser
124,Dailymotion.com,France,video sharing site
151,Rambler.ru,Russia,search engine
161,Independent.co.uk,UK,newspaper
175,Spotify.com,Sweden,music streaming service
177,1und1.de*,Germany,web hosting
182,who.int,UN|Switzerland,UN health agency
186,Plesk.com,Russia|US,web hosting
192,One.com,Denmark,web hosting
200,Hostnet.nl,Netherlands,web hosting
202,Trustpilot.com,Denmark,review site
204,Nature.com,UK,scientific journal
212,Sciencedirect.com,UK|Netherlands,scientific publisher
215,Domainname.de,Germany,domain registrar
221,Skype.com,Nordic,telecom application
229,Springer.com,Germany,scientific publisher
230,Ft.com,UK,newspaper
232,Phoca.cz,Czech Republic,web app resources
241,Economist.com,UK,magazine
249,Nhs.uk,UK,national health service
250,Spiegel.de,Germany,news site
260,Mijndomein.nl,Netherlands,domain registerar and web hosting
262,Enable-javascript.com,Croatia|USA,browser help page
272,Loopia.se*,Sweden,domain registerar and web hosting
276,Visma.com,Norway,business software
296,Unesco.org,UN|France,UN culture agency
304,Aboutcookies.org,UK,browser help page
